split,current_file,best_video,best_frame,best_distance,second_video,second_distance,margin
train,01775.jpg,video08,02073.jpg,91,video10,101,10
train,01792.jpg,video14,00068.jpg,80,video01,97,17
train,01809.jpg,video08,02073.jpg,96,video05,101,5
train,01827.jpg,video03,00017.jpg,98,video07,98,0
train,01844.jpg,video07,00367.jpg,98,video03,100,2
train,01862.jpg,video07,01964.jpg,97,video08,98,1
train,01879.jpg,video08,00062.jpg,96,video04,103,7
train,01896.jpg,video13,01015.jpg,96,video04,97,1
train,01914.jpg,video01,00493.jpg,96,video13,97,1
train,01931.jpg,video04,00181.jpg,94,video08,100,6
train,01949.jpg,video04,00181.jpg,90,video05,99,9
train,01966.jpg,video04,00003.jpg,94,video08,96,2
train,01983.jpg,video02,00012.jpg,90,video07,97,7
train,02001.jpg,video08,00990.jpg,97,video02,98,1
train,02018.jpg,video02,00036.jpg,94,video07,95,1
train,02035.jpg,video02,00015.jpg,89,video20,95,6
train,02053.jpg,video07,00982.jpg,100,video04,104,4
train,02070.jpg,video07,00982.jpg,99,video04,101,2
train,02088.jpg,video08,01145.jpg,95,video03,104,9
train,02105.jpg,video04,00288.jpg,106,video05,106,0
train,02122.jpg,video05,00082.jpg,104,video01,105,1
train,02140.jpg,video06,00057.jpg,103,video05,104,1
train,02157.jpg,video01,00458.jpg,98,video04,105,7
train,02175.jpg,video01,00296.jpg,102,video07,106,4
train,02192.jpg,video01,00388.jpg,101,video03,101,0
train,02209.jpg,video08,00588.jpg,98,video04,102,4
train,02227.jpg,video08,01098.jpg,102,video04,104,2
train,02244.jpg,video04,00128.jpg,96,video06,100,4
train,02262.jpg,video04,00128.jpg,98,video08,100,2
train,02279.jpg,video08,01562.jpg,101,video16,101,0
train,02296.jpg,video08,01562.jpg,97,video07,104,7
train,02314.jpg,video08,00526.jpg,94,video07,101,7
train,02331.jpg,video08,00619.jpg,95,video04,102,7
train,02348.jpg,video08,00619.jpg,95,video04,102,7
train,02366.jpg,video08,01253.jpg,96,video07,99,3
train,02383.jpg,video08,01238.jpg,99,video07,101,2
train,02401.jpg,video20,00253.jpg,98,video18,101,3
train,02418.jpg,video08,00944.jpg,103,video01,104,1
train,02435.jpg,video01,00923.jpg,103,video08,103,0
train,02453.jpg,video03,00053.jpg,102,video02,106,4
train,02470.jpg,video07,02380.jpg,103,video01,107,4
train,02488.jpg,video02,00058.jpg,102,video04,102,0
train,02505.jpg,video18,00160.jpg,100,video02,102,2
train,02522.jpg,video08,01129.jpg,93,video01,98,5
train,02540.jpg,video12,00827.jpg,92,video01,97,5
train,02557.jpg,video12,00777.jpg,91,video08,104,13
train,02574.jpg,video08,01902.jpg,89,video04,91,2
train,02592.jpg,video08,01902.jpg,88,video04,93,5
train,02609.jpg,video08,01902.jpg,84,video04,91,7
train,02627.jpg,video06,00097.jpg,101,video17,103,2
train,02644.jpg,video06,00097.jpg,102,video08,102,0
train,02661.jpg,video04,00197.jpg,107,video05,107,0
train,02679.jpg,video03,00022.jpg,108,video05,108,0
train,02696.jpg,video07,00450.jpg,105,video20,107,2
train,02714.jpg,video08,01114.jpg,97,video02,100,3
train,02731.jpg,video08,01485.jpg,99,video02,102,3
train,02748.jpg,video08,00805.jpg,103,video01,105,2
train,02766.jpg,video01,00317.jpg,97,video02,98,1
train,02783.jpg,video07,00782.jpg,90,video02,97,7
train,02800.jpg,video07,00782.jpg,99,video02,100,1
train,02818.jpg,video07,00782.jpg,97,video01,101,4
train,02835.jpg,video01,00303.jpg,93,video08,94,1
train,02853.jpg,video01,00303.jpg,98,video02,101,3
train,02870.jpg,video08,00836.jpg,102,video01,104,2
train,02887.jpg,video04,00092.jpg,102,video01,104,2
train,02905.jpg,video05,00118.jpg,101,video08,104,3
train,02922.jpg,video01,00697.jpg,103,video08,104,1
train,02939.jpg,video15,00879.jpg,0,video08,99,99
train,02957.jpg,video15,00743.jpg,4,video04,98,94
train,02974.jpg,video15,01078.jpg,7,video08,98,91
train,02992.jpg,video07,00217.jpg,99,video18,101,2
train,03009.jpg,video01,00507.jpg,100,video04,102,2
train,03026.jpg,video07,01564.jpg,98,video04,104,6
train,03044.jpg,video07,01564.jpg,96,video04,104,8
train,03061.jpg,video08,01098.jpg,99,video01,101,2
train,03079.jpg,video08,01114.jpg,101,video01,102,1
train,03096.jpg,video08,01114.jpg,99,video01,100,1
train,03113.jpg,video08,02042.jpg,98,video02,106,8
train,03131.jpg,video05,00450.jpg,101,video01,102,1
train,03148.jpg,video16,00035.jpg,0,video07,103,103
train,03165.jpg,video16,00733.jpg,2,video04,99,97
train,03183.jpg,video01,00085.jpg,99,video02,101,2
train,03200.jpg,video01,00085.jpg,99,video02,99,0
train,03218.jpg,video06,00191.jpg,100,video08,100,0
train,03235.jpg,video06,00191.jpg,100,video08,100,0
train,03252.jpg,video11,00859.jpg,103,video01,109,6
train,03270.jpg,video08,00789.jpg,97,video16,101,4
train,03287.jpg,video08,01732.jpg,101,video07,103,2
train,03305.jpg,video08,01995.jpg,85,video05,96,11
train,03322.jpg,video15,00915.jpg,96,video01,102,6
train,03339.jpg,video02,00062.jpg,103,video07,103,0
train,03357.jpg,video06,00031.jpg,102,video01,105,3
train,03374.jpg,video17,00142.jpg,0,video07,96,96
train,03391.jpg,video13,01157.jpg,104,video04,106,2
train,03409.jpg,video13,01157.jpg,104,video04,106,2
train,03426.jpg,video13,01157.jpg,101,video01,106,5
train,03444.jpg,video13,01157.jpg,104,video01,107,3
train,03461.jpg,video04,00169.jpg,101,video08,101,0
train,03478.jpg,video08,02305.jpg,99,video04,103,4
train,03496.jpg,video03,00012.jpg,101,video04,101,0
train,03513.jpg,video07,00616.jpg,94,video08,105,11
train,03531.jpg,video09,02432.jpg,98,video08,99,1
train,03548.jpg,video08,00743.jpg,88,video07,94,6
train,03565.jpg,video08,00743.jpg,90,video07,96,6
train,03583.jpg,video07,01947.jpg,97,video08,106,9
train,03600.jpg,video07,01947.jpg,99,video05,105,6
train,03617.jpg,video07,01947.jpg,101,video01,103,2
train,03635.jpg,video01,00360.jpg,101,video11,102,1
train,03652.jpg,video01,00360.jpg,100,video05,101,1
train,03670.jpg,video01,00374.jpg,101,video05,102,1
train,03687.jpg,video07,02346.jpg,102,video04,105,3
train,03704.jpg,video01,00141.jpg,98,video12,98,0
train,03722.jpg,video04,00016.jpg,97,video07,103,6
train,03739.jpg,video04,00016.jpg,97,video01,102,5
train,03757.jpg,video01,00409.jpg,98,video06,107,9
train,03774.jpg,video07,01747.jpg,101,video01,103,2
train,03791.jpg,video08,01624.jpg,103,video01,104,1
train,03809.jpg,video01,00353.jpg,103,video03,107,4
train,03826.jpg,video01,00353.jpg,101,video03,105,4
train,03843.jpg,video08,00279.jpg,105,video01,106,1
train,03861.jpg,video18,00027.jpg,10,video10,97,87
train,03878.jpg,video18,00027.jpg,13,video10,100,87
train,03896.jpg,video02,00064.jpg,96,video06,97,1
train,03913.jpg,video02,00064.jpg,99,video01,100,1
train,03930.jpg,video19,01282.jpg,1,video07,96,95
train,03948.jpg,video19,01160.jpg,5,video07,95,90
train,03965.jpg,video19,01160.jpg,2,video07,96,94
train,03983.jpg,video03,00088.jpg,104,video08,104,0
train,04000.jpg,video08,00387.jpg,92,video06,103,11
train,04017.jpg,video08,00387.jpg,91,video06,103,12
train,04035.jpg,video08,00387.jpg,95,video05,102,7
train,04052.jpg,video07,01348.jpg,101,video05,105,4
train,04069.jpg,video04,00206.jpg,103,video08,103,0
train,04087.jpg,video07,01781.jpg,101,video04,102,1
train,04104.jpg,video07,00932.jpg,96,video08,102,6
train,04122.jpg,video04,00058.jpg,102,video01,103,1
train,04139.jpg,video08,02026.jpg,99,video12,100,1
train,04156.jpg,video07,02064.jpg,102,video15,103,1
train,04174.jpg,video01,00275.jpg,89,video08,99,10
train,04191.jpg,video01,00275.jpg,92,video08,100,8
train,04209.jpg,video08,01810.jpg,97,video06,99,2
train,04226.jpg,video06,00142.jpg,102,video08,102,0
train,04243.jpg,video01,00367.jpg,101,video02,104,3
train,04261.jpg,video04,00064.jpg,97,video07,101,4
train,04278.jpg,video01,01035.jpg,100,video08,102,2
train,04296.jpg,video01,01035.jpg,98,video04,102,4
train,04313.jpg,video08,01114.jpg,100,video02,104,4
train,04330.jpg,video02,00016.jpg,99,video08,101,2
train,04348.jpg,video08,00124.jpg,101,video11,103,2
train,04365.jpg,video07,00666.jpg,100,video08,103,3
train,04382.jpg,video07,00666.jpg,97,video11,99,2
train,04400.jpg,video03,00068.jpg,103,video06,104,1
train,04417.jpg,video03,00068.jpg,103,video06,104,1
train,04435.jpg,video08,00248.jpg,102,video06,106,4
train,04452.jpg,video04,00101.jpg,106,video07,108,2
train,04469.jpg,video04,00101.jpg,106,video07,107,1
train,04487.jpg,video01,00233.jpg,101,video08,106,5
train,04504.jpg,video01,00233.jpg,101,video08,104,3
train,04522.jpg,video01,00233.jpg,103,video03,106,3
train,04539.jpg,video07,00816.jpg,96,video08,100,4
train,04556.jpg,video04,00224.jpg,98,video07,99,1
train,04574.jpg,video08,00341.jpg,105,video04,107,2
train,04591.jpg,video08,00418.jpg,103,video01,104,1
train,04608.jpg,video08,00418.jpg,102,video03,105,3
train,04626.jpg,video08,00449.jpg,102,video07,104,2
train,04643.jpg,video07,00733.jpg,104,video08,104,0
train,04661.jpg,video07,01764.jpg,105,video08,106,1
train,04678.jpg,video01,00043.jpg,99,video02,100,1
train,04695.jpg,video08,00820.jpg,98,video01,100,2
train,04713.jpg,video08,00820.jpg,100,video01,101,1
train,04730.jpg,video02,00046.jpg,101,video06,106,5
train,04748.jpg,video02,00046.jpg,100,video08,103,3
train,04765.jpg,video02,00058.jpg,92,video08,96,4
train,04782.jpg,video01,00261.jpg,102,video09,108,6
train,04800.jpg,video01,00261.jpg,101,video14,105,4
train,04817.jpg,video02,00032.jpg,98,video06,102,4
train,04834.jpg,video02,00032.jpg,98,video08,103,5
train,04852.jpg,video08,00959.jpg,101,video02,103,2
train,04869.jpg,video07,00084.jpg,96,video08,98,2
train,04887.jpg,video07,00599.jpg,101,video04,104,3
train,04904.jpg,video07,00599.jpg,102,video04,105,3
train,04921.jpg,video01,00423.jpg,97,video05,105,8
train,04939.jpg,video01,01021.jpg,97,video05,101,4
train,04956.jpg,video01,01021.jpg,94,video05,98,4
train,04974.jpg,video02,00051.jpg,101,video07,101,0
train,04991.jpg,video07,00500.jpg,103,video01,104,1
train,05008.jpg,video07,00500.jpg,102,video15,105,3
train,05026.jpg,video07,00500.jpg,104,video01,105,1
train,05043.jpg,video08,00155.jpg,96,video07,104,8
train,05060.jpg,video08,00155.jpg,96,video07,105,9
train,05078.jpg,video06,00122.jpg,101,video12,102,1
train,05095.jpg,video08,00681.jpg,100,video05,102,2
train,05113.jpg,video01,00529.jpg,100,video04,103,3
train,05130.jpg,video07,02346.jpg,101,video04,105,4
train,05147.jpg,video01,00529.jpg,101,video08,101,0
train,05165.jpg,video08,00758.jpg,95,video14,97,2
train,05182.jpg,video01,00071.jpg,97,video07,101,4
train,05200.jpg,video06,00200.jpg,105,video01,106,1
val,00001.jpg,video03,00007.jpg,92,video07,101,9
val,00009.jpg,video04,00192.jpg,92,video01,100,8
val,00018.jpg,video04,00265.jpg,87,video01,103,16
val,00027.jpg,video04,00156.jpg,76,video08,101,25
val,00035.jpg,video04,00192.jpg,102,video01,104,2
val,00044.jpg,video07,01831.jpg,89,video01,97,8
val,00053.jpg,video08,02274.jpg,92,video04,99,7
val,00061.jpg,video01,00430.jpg,92,video07,96,4
val,00070.jpg,video04,00163.jpg,85,video07,105,20
val,00079.jpg,video10,02104.jpg,93,video09,99,6
val,00087.jpg,video08,01268.jpg,103,video01,106,3
val,00096.jpg,video08,01129.jpg,90,video04,100,10
val,00105.jpg,video01,00289.jpg,94,video06,99,5
val,00113.jpg,video04,00306.jpg,42,video01,98,56
val,00122.jpg,video04,00169.jpg,100,video01,105,5
val,00131.jpg,video04,00297.jpg,99,video01,100,1
val,00140.jpg,video04,00083.jpg,57,video08,92,35
val,00148.jpg,video05,00257.jpg,103,video01,104,1
val,00157.jpg,video01,00669.jpg,102,video03,105,3
val,00166.jpg,video01,00937.jpg,101,video03,102,1
val,00174.jpg,video01,00437.jpg,83,video04,83,0
val,00183.jpg,video08,01006.jpg,103,video03,106,3
val,00192.jpg,video04,00037.jpg,104,video05,104,0
val,00200.jpg,video07,00733.jpg,72,video04,85,13
val,00209.jpg,video08,00124.jpg,99,video02,102,3
val,00218.jpg,video08,00093.jpg,99,video05,104,5
val,00226.jpg,video04,00030.jpg,99,video06,99,0
val,00235.jpg,video04,00188.jpg,85,video01,98,13
val,00244.jpg,video08,00588.jpg,104,video07,105,1
val,00253.jpg,video04,00272.jpg,100,video07,105,5
val,00261.jpg,video08,02134.jpg,96,video07,102,6
val,00270.jpg,video07,01764.jpg,98,video04,100,2
val,00279.jpg,video04,00302.jpg,99,video03,107,8
val,00287.jpg,video01,00310.jpg,100,video04,100,0
val,00296.jpg,video04,00261.jpg,100,video07,100,0
val,00305.jpg,video04,00055.jpg,100,video09,102,2
val,00313.jpg,video04,00178.jpg,97,video01,103,6
val,00322.jpg,video08,00866.jpg,100,video01,105,5
val,00331.jpg,video04,00190.jpg,47,video08,87,40
val,00340.jpg,video07,00949.jpg,100,video08,102,2
val,00348.jpg,video08,01037.jpg,98,video07,106,8
val,00357.jpg,video04,00318.jpg,95,video01,104,9
val,00366.jpg,video04,00254.jpg,78,video01,103,25
val,00374.jpg,video01,00360.jpg,102,video07,103,1
val,00383.jpg,video04,00204.jpg,95,video01,101,6
val,00392.jpg,video07,02363.jpg,102,video01,104,2
val,00400.jpg,video04,00001.jpg,95,video01,103,8
val,00409.jpg,video08,01671.jpg,98,video07,100,2
val,00418.jpg,video08,02042.jpg,96,video07,107,11
val,00426.jpg,video07,01764.jpg,103,video11,103,0
val,00435.jpg,video02,00070.jpg,104,video05,105,1
val,00444.jpg,video12,00080.jpg,0,video08,98,98
val,00452.jpg,video12,01395.jpg,17,video03,94,77
val,00461.jpg,video03,00023.jpg,101,video01,104,3
val,00470.jpg,video06,00110.jpg,104,video03,105,1
val,00479.jpg,video13,00001.jpg,13,video04,105,92
val,00487.jpg,video13,01696.jpg,2,video07,103,101
val,00496.jpg,video07,00500.jpg,103,video02,104,1
val,00505.jpg,video01,00127.jpg,102,video03,104,2
val,00513.jpg,video07,02430.jpg,106,video01,107,1
val,00522.jpg,video04,00167.jpg,94,video07,101,7
val,00531.jpg,video04,00096.jpg,93,video01,98,5
val,00539.jpg,video08,00975.jpg,94,video04,102,8
val,00548.jpg,video02,00075.jpg,101,video08,102,1
val,00557.jpg,video06,00086.jpg,100,video08,100,0
val,00566.jpg,video17,00361.jpg,102,video08,104,2
val,00574.jpg,video08,00634.jpg,105,video17,106,1
val,00583.jpg,video17,00361.jpg,101,video08,107,6
val,00592.jpg,video07,00500.jpg,99,video05,100,1
val,00600.jpg,video01,00353.jpg,102,video07,104,2
val,00609.jpg,video01,00472.jpg,96,video05,99,3
val,00618.jpg,video04,00051.jpg,102,video01,103,1
val,00626.jpg,video04,00194.jpg,102,video09,105,3
val,00635.jpg,video07,02263.jpg,96,video04,100,4
val,00644.jpg,video01,00486.jpg,99,video05,101,2
val,00652.jpg,video01,00360.jpg,102,video08,104,2
val,00661.jpg,video01,00226.jpg,105,video04,106,1
val,00670.jpg,video05,00055.jpg,99,video08,100,1
val,00679.jpg,video01,00071.jpg,103,video08,104,1
val,00687.jpg,video03,00099.jpg,101,video01,103,2
val,00696.jpg,video04,00110.jpg,93,video08,96,3
val,00705.jpg,video07,01481.jpg,102,video08,102,0
val,00713.jpg,video05,00425.jpg,91,video01,101,10
val,00722.jpg,video01,01050.jpg,97,video05,97,0
val,00731.jpg,video05,00425.jpg,93,video01,99,6
val,00739.jpg,video08,01531.jpg,105,video01,107,2
val,00748.jpg,video16,00259.jpg,104,video08,105,1
val,00757.jpg,video07,00100.jpg,96,video06,98,2
val,00765.jpg,video07,01448.jpg,96,video08,103,7
val,00774.jpg,video14,00107.jpg,99,video07,100,1
val,00783.jpg,video01,00550.jpg,93,video07,102,9
val,00791.jpg,video07,00766.jpg,102,video04,105,3
val,00800.jpg,video07,00766.jpg,98,video01,107,9
val,00809.jpg,video01,00909.jpg,101,video03,106,5
val,00818.jpg,video10,02086.jpg,105,video08,106,1
val,00826.jpg,video08,00047.jpg,105,video07,106,1
val,00835.jpg,video05,00049.jpg,102,video07,105,3
val,00844.jpg,video05,00049.jpg,102,video07,105,3
val,00852.jpg,video04,00192.jpg,77,video01,100,23
val,00861.jpg,video08,00634.jpg,98,video01,101,3
val,00870.jpg,video04,00046.jpg,104,video01,105,1
val,00878.jpg,video01,00310.jpg,103,video02,106,3
val,00887.jpg,video08,02073.jpg,91,video06,104,13
val,00896.jpg,video08,02073.jpg,97,video01,104,7
val,00904.jpg,video08,01949.jpg,100,video05,103,3
val,00913.jpg,video03,00009.jpg,101,video07,102,1
val,00922.jpg,video03,00017.jpg,98,video07,98,0
val,00931.jpg,video07,01964.jpg,97,video08,98,1
val,00939.jpg,video08,00062.jpg,94,video07,101,7
val,00948.jpg,video04,00014.jpg,96,video13,97,1
val,00957.jpg,video01,00493.jpg,96,video13,101,5
val,00965.jpg,video04,00176.jpg,94,video05,102,8
val,00974.jpg,video04,00181.jpg,93,video08,99,6
val,00983.jpg,video04,00005.jpg,92,video08,95,3
val,00991.jpg,video02,00015.jpg,91,video07,95,4
val,01000.jpg,video05,00109.jpg,99,video07,101,2
val,01009.jpg,video02,00015.jpg,96,video20,96,0
val,01017.jpg,video02,00012.jpg,95,video10,101,6
val,01026.jpg,video07,00982.jpg,98,video03,105,7
val,01035.jpg,video07,00982.jpg,98,video04,106,8
val,01044.jpg,video08,01145.jpg,91,video07,105,14
val,01052.jpg,video08,01562.jpg,104,video04,106,2
val,01061.jpg,video05,00082.jpg,102,video01,103,1
val,01070.jpg,video10,01061.jpg,102,video09,103,1
val,01078.jpg,video06,00018.jpg,100,video04,104,4
val,01087.jpg,video01,00458.jpg,100,video07,104,4
val,01096.jpg,video01,00458.jpg,102,video04,103,1
val,01104.jpg,video06,00174.jpg,99,video01,102,3
val,01113.jpg,video04,00320.jpg,104,video05,106,2
val,01122.jpg,video04,00128.jpg,96,video08,101,5
val,01131.jpg,video04,00128.jpg,96,video08,101,5
val,01139.jpg,video07,01980.jpg,103,video08,104,1
val,01148.jpg,video08,01562.jpg,97,video07,104,7
val,01157.jpg,video08,01562.jpg,97,video05,104,7
val,01165.jpg,video08,00619.jpg,93,video04,102,9
val,01174.jpg,video08,00403.jpg,97,video01,103,6
val,01183.jpg,video07,01881.jpg,95,video01,101,6
val,01191.jpg,video07,02480.jpg,100,video08,101,1
val,01200.jpg,video20,00099.jpg,100,video09,105,5
val,01209.jpg,video08,00944.jpg,101,video01,103,2
val,01217.jpg,video01,00923.jpg,103,video08,103,0
val,01226.jpg,video07,00267.jpg,100,video08,107,7
val,01235.jpg,video07,00100.jpg,101,video05,103,2
val,01244.jpg,video04,00044.jpg,101,video02,103,2
val,01252.jpg,video02,00058.jpg,101,video04,101,0
val,01261.jpg,video08,01129.jpg,95,video01,102,7
val,01270.jpg,video08,00805.jpg,94,video07,99,5
val,01278.jpg,video12,01236.jpg,93,video01,105,12
val,01287.jpg,video08,01902.jpg,89,video04,96,7
val,01296.jpg,video08,01902.jpg,84,video04,91,7
val,01304.jpg,video08,01902.jpg,84,video04,91,7
val,01313.jpg,video08,02057.jpg,99,video05,103,4
val,01322.jpg,video08,01949.jpg,96,video06,104,8
val,01330.jpg,video01,00029.jpg,106,video08,106,0
val,01339.jpg,video03,00027.jpg,103,video05,106,3
val,01348.jpg,video01,00831.jpg,104,video07,104,0
val,01357.jpg,video08,01114.jpg,93,video05,102,9
val,01365.jpg,video08,01114.jpg,93,video02,100,7
val,01374.jpg,video08,00820.jpg,98,video01,102,4
val,01383.jpg,video07,00782.jpg,92,video02,101,9
val,01391.jpg,video07,00782.jpg,95,video02,96,1
val,01400.jpg,video07,00782.jpg,97,video02,100,3
val,01409.jpg,video01,00317.jpg,99,video04,102,3
val,01417.jpg,video07,00782.jpg,94,video05,97,3
val,01426.jpg,video02,00010.jpg,97,video01,98,1
val,01435.jpg,video06,00106.jpg,103,video07,103,0
val,01443.jpg,video04,00067.jpg,100,video01,105,5
val,01452.jpg,video05,00118.jpg,103,video04,105,2
val,01461.jpg,video05,00118.jpg,101,video04,103,2
val,01469.jpg,video15,00326.jpg,0,video08,99,99
val,01478.jpg,video15,01114.jpg,2,video04,98,96
val,01487.jpg,video15,00743.jpg,2,video04,98,96
val,01496.jpg,video07,00217.jpg,103,video18,103,0
val,01504.jpg,video01,00507.jpg,100,video04,100,0
val,01513.jpg,video07,01564.jpg,98,video04,104,6
val,01522.jpg,video07,01564.jpg,98,video04,104,6
val,01530.jpg,video05,00446.jpg,103,video01,105,2
val,01539.jpg,video01,00022.jpg,101,video08,102,1
val,01548.jpg,video08,01114.jpg,98,video01,101,3
val,01556.jpg,video01,00951.jpg,85,video05,97,12
val,01565.jpg,video08,00944.jpg,94,video07,99,5
val,01574.jpg,video16,00035.jpg,0,video07,103,103
val,01582.jpg,video16,00647.jpg,4,video04,101,97
val,01591.jpg,video02,00052.jpg,99,video01,101,2
val,01600.jpg,video01,00085.jpg,97,video02,101,4
val,01609.jpg,video06,00191.jpg,100,video08,102,2
val,01617.jpg,video06,00191.jpg,100,video08,100,0
val,01626.jpg,video08,00078.jpg,103,video07,104,1
val,01635.jpg,video08,00789.jpg,94,video16,98,4
val,01643.jpg,video08,00789.jpg,93,video16,95,2
val,01652.jpg,video08,01995.jpg,89,video01,100,11
val,01661.jpg,video15,00915.jpg,98,video01,102,4
val,01669.jpg,video15,00453.jpg,99,video04,103,4
val,01678.jpg,video06,00031.jpg,104,video02,105,1
val,01687.jpg,video17,00142.jpg,0,video07,96,96
val,01695.jpg,video01,00564.jpg,104,video04,104,0
val,01704.jpg,video04,00117.jpg,106,video13,106,0
