split,current_file,rank1_video,rank1_frame,rank1_distance,rank2_video,rank2_frame,rank2_distance,rank3_video,rank3_frame,rank3_distance
val,01166.jpg,video01,00271.jpg,91,video08,00617.jpg,91,video08,00165.jpg,92
val,01255.jpg,video08,01110.jpg,75,video08,01109.jpg,80,video08,01111.jpg,80
val,01345.jpg,video08,00249.jpg,100,video01,00827.jpg,101,video01,00828.jpg,101
val,01434.jpg,video08,01113.jpg,100,video06,00192.jpg,104,video01,00289.jpg,104
val,01524.jpg,video07,01562.jpg,97,video07,01564.jpg,98,video07,00185.jpg,98
val,01614.jpg,video01,00131.jpg,96,video08,00078.jpg,100,video01,00055.jpg,100
val,01703.jpg,video07,00151.jpg,100,video07,00291.jpg,102,video07,00110.jpg,102
val,01793.jpg,video07,00164.jpg,87,video07,01403.jpg,92,video07,00163.jpg,94
val,01883.jpg,video01,00412.jpg,103,video01,00106.jpg,103,video01,00409.jpg,103
val,01972.jpg,video19,01286.jpg,3,video19,01117.jpg,4,video19,01289.jpg,4
val,02062.jpg,video08,02024.jpg,101,video08,02026.jpg,101,video08,02077.jpg,101
val,02151.jpg,video01,00362.jpg,90,video08,00265.jpg,96,video07,02209.jpg,99
val,02241.jpg,video08,00162.jpg,84,video08,00164.jpg,90,video08,00161.jpg,95
val,02331.jpg,video07,01759.jpg,101,video07,01067.jpg,102,video08,01225.jpg,104
val,02420.jpg,video02,00032.jpg,98,video02,00028.jpg,99,video02,00029.jpg,99
val,02510.jpg,video01,00475.jpg,99,video01,00476.jpg,100,video07,00502.jpg,100
val,02600.jpg,video08,00262.jpg,95,video08,00268.jpg,96,video08,00265.jpg,99
test,00001.jpg,video01,00421.jpg,86,video01,00424.jpg,92,video01,00423.jpg,94
test,00076.jpg,video07,00959.jpg,87,video07,00960.jpg,91,video07,02149.jpg,92
test,00152.jpg,video04,00062.jpg,97,video04,00076.jpg,98,video04,00077.jpg,99
test,00228.jpg,video08,00233.jpg,83,video08,02019.jpg,92,video08,02016.jpg,92
test,00304.jpg,video04,00125.jpg,93,video01,00142.jpg,94,video04,00124.jpg,95
test,00380.jpg,video08,02038.jpg,97,video08,02040.jpg,98,video08,02043.jpg,99
test,00455.jpg,video01,00482.jpg,98,video01,00307.jpg,100,video01,00425.jpg,102
test,00531.jpg,video13,01427.jpg,96,video13,01426.jpg,96,video13,01497.jpg,96
test,00607.jpg,video20,00105.jpg,101,video18,01176.jpg,101,video18,01177.jpg,101
test,00683.jpg,video15,00779.jpg,2,video15,00777.jpg,2,video15,00778.jpg,2
test,00759.jpg,video08,00743.jpg,88,video08,00739.jpg,91,video07,01624.jpg,91
test,00835.jpg,video01,00021.jpg,96,video01,00020.jpg,98,video08,01075.jpg,98
test,00910.jpg,video02,00032.jpg,98,video07,00596.jpg,99,video02,00029.jpg,101
test,00986.jpg,video04,00083.jpg,100,video07,00594.jpg,100,video08,01905.jpg,102
test,01062.jpg,video19,01296.jpg,94,video19,00106.jpg,95,video19,00107.jpg,95
test,01138.jpg,video08,01385.jpg,99,video07,02385.jpg,101,video01,00653.jpg,101
test,01214.jpg,video07,01043.jpg,94,video07,01049.jpg,95,video07,01031.jpg,96
test,01290.jpg,video07,01370.jpg,98,video01,01014.jpg,100,video07,00316.jpg,100
test,01365.jpg,video08,01871.jpg,90,video08,01676.jpg,92,video08,01677.jpg,92
test,01441.jpg,video08,02040.jpg,97,video08,00010.jpg,99,video07,00790.jpg,99
test,01517.jpg,video08,00814.jpg,92,video08,00813.jpg,92,video08,00815.jpg,96
test,01593.jpg,video07,01682.jpg,96,video07,01681.jpg,99,video07,01448.jpg,101
test,01669.jpg,video13,00983.jpg,91,video13,00864.jpg,91,video13,01410.jpg,91
test,01745.jpg,video01,00271.jpg,91,video08,00165.jpg,94,video01,00270.jpg,94
test,01820.jpg,video08,01121.jpg,93,video08,01113.jpg,95,video08,01112.jpg,97
test,01896.jpg,video01,00527.jpg,97,video01,00526.jpg,97,video08,01147.jpg,99
test,01972.jpg,video07,00164.jpg,85,video07,00163.jpg,92,video07,00171.jpg,93
test,02048.jpg,video07,00783.jpg,97,video07,00960.jpg,99,video07,01781.jpg,101
test,02124.jpg,video07,01067.jpg,100,video07,01759.jpg,103,video07,01068.jpg,103
test,02200.jpg,video07,01702.jpg,100,video07,00360.jpg,100,video07,01701.jpg,102
