split_A,image_A,split_B,image_B,hamming_distance
train,00915.jpg,test,00391.jpg,0
train,00915.jpg,test,01474.jpg,0
train,00915.jpg,test,01475.jpg,0
train,00916.jpg,val,00457.jpg,0
train,00916.jpg,val,00458.jpg,0
train,00916.jpg,test,00390.jpg,0
train,00916.jpg,test,00391.jpg,0
train,00916.jpg,test,01474.jpg,0
train,00916.jpg,test,01475.jpg,0
train,00917.jpg,val,00459.jpg,0
train,00918.jpg,val,00460.jpg,0
train,00918.jpg,test,01476.jpg,0
train,00924.jpg,val,00462.jpg,0
train,00926.jpg,test,01478.jpg,0
train,00927.jpg,test,01484.jpg,0
train,00928.jpg,test,01479.jpg,0
train,00929.jpg,val,00465.jpg,0
train,00929.jpg,val,00466.jpg,0
train,00929.jpg,val,00468.jpg,0
train,00929.jpg,val,00469.jpg,0
train,00929.jpg,val,00470.jpg,0
train,00929.jpg,val,00471.jpg,0
train,00929.jpg,test,01480.jpg,0
train,00929.jpg,test,01481.jpg,0
train,00929.jpg,test,01482.jpg,0
train,00929.jpg,test,01483.jpg,0
train,00930.jpg,val,00465.jpg,0
train,00930.jpg,val,00466.jpg,0
train,00930.jpg,val,00468.jpg,0
train,00930.jpg,val,00469.jpg,0
train,00930.jpg,val,00470.jpg,0
train,00930.jpg,val,00471.jpg,0
train,00930.jpg,test,01480.jpg,0
train,00930.jpg,test,01481.jpg,0
train,00930.jpg,test,01482.jpg,0
train,00930.jpg,test,01483.jpg,0
train,00931.jpg,val,00465.jpg,0
train,00931.jpg,val,00466.jpg,0
train,00931.jpg,val,00468.jpg,0
train,00931.jpg,val,00469.jpg,0
train,00931.jpg,val,00470.jpg,0
train,00931.jpg,val,00471.jpg,0
train,00931.jpg,test,01480.jpg,0
train,00931.jpg,test,01481.jpg,0
train,00931.jpg,test,01482.jpg,0
train,00931.jpg,test,01483.jpg,0
train,00932.jpg,val,00465.jpg,0
train,00932.jpg,val,00466.jpg,0
train,00932.jpg,val,00468.jpg,0
train,00932.jpg,val,00469.jpg,0
train,00932.jpg,val,00470.jpg,0
train,00932.jpg,val,00471.jpg,0
train,00932.jpg,test,01480.jpg,0
train,00932.jpg,test,01481.jpg,0
train,00932.jpg,test,01482.jpg,0
train,00932.jpg,test,01483.jpg,0
train,00934.jpg,val,00465.jpg,0
train,00934.jpg,val,00466.jpg,0
train,00934.jpg,val,00468.jpg,0
train,00934.jpg,val,00469.jpg,0
train,00934.jpg,val,00470.jpg,0
train,00934.jpg,val,00471.jpg,0
train,00934.jpg,test,01480.jpg,0
train,00934.jpg,test,01481.jpg,0
train,00934.jpg,test,01482.jpg,0
train,00934.jpg,test,01483.jpg,0
train,00936.jpg,val,00465.jpg,0
train,00936.jpg,val,00466.jpg,0
train,00936.jpg,val,00468.jpg,0
train,00936.jpg,val,00469.jpg,0
train,00936.jpg,val,00470.jpg,0
train,00936.jpg,val,00471.jpg,0
train,00936.jpg,test,01480.jpg,0
train,00936.jpg,test,01481.jpg,0
train,00936.jpg,test,01482.jpg,0
train,00936.jpg,test,01483.jpg,0
train,00937.jpg,val,00465.jpg,0
train,00937.jpg,val,00466.jpg,0
train,00937.jpg,val,00468.jpg,0
train,00937.jpg,val,00469.jpg,0
train,00937.jpg,val,00470.jpg,0
train,00937.jpg,val,00471.jpg,0
train,00937.jpg,test,01480.jpg,0
train,00937.jpg,test,01481.jpg,0
train,00937.jpg,test,01482.jpg,0
train,00937.jpg,test,01483.jpg,0
train,00938.jpg,test,01484.jpg,0
train,00940.jpg,val,00465.jpg,0
train,00940.jpg,val,00466.jpg,0
train,00940.jpg,val,00468.jpg,0
train,00940.jpg,val,00469.jpg,0
train,00940.jpg,val,00470.jpg,0
train,00940.jpg,val,00471.jpg,0
train,00940.jpg,test,01480.jpg,0
train,00940.jpg,test,01481.jpg,0
train,00940.jpg,test,01482.jpg,0
train,00940.jpg,test,01483.jpg,0
train,00944.jpg,val,00473.jpg,0
train,00944.jpg,val,00474.jpg,0
train,00944.jpg,val,00475.jpg,0
train,00944.jpg,val,00476.jpg,0
train,00944.jpg,val,00477.jpg,0
train,00944.jpg,test,00392.jpg,0
train,00944.jpg,test,01486.jpg,0
train,00944.jpg,test,01487.jpg,0
train,00945.jpg,val,00473.jpg,0
train,00945.jpg,val,00474.jpg,0
train,00945.jpg,val,00475.jpg,0
train,00945.jpg,val,00476.jpg,0
train,00945.jpg,val,00477.jpg,0
train,00945.jpg,test,00392.jpg,0
train,00945.jpg,test,01486.jpg,0
train,00945.jpg,test,01487.jpg,0
train,00946.jpg,val,00473.jpg,0
train,00946.jpg,val,00474.jpg,0
train,00946.jpg,val,00475.jpg,0
train,00946.jpg,val,00476.jpg,0
train,00946.jpg,val,00477.jpg,0
train,00946.jpg,test,00392.jpg,0
train,00946.jpg,test,01486.jpg,0
train,00946.jpg,test,01487.jpg,0
train,00947.jpg,val,00473.jpg,0
train,00947.jpg,val,00474.jpg,0
train,00947.jpg,val,00475.jpg,0
train,00947.jpg,val,00476.jpg,0
train,00947.jpg,val,00477.jpg,0
train,00947.jpg,test,00392.jpg,0
train,00947.jpg,test,01486.jpg,0
train,00947.jpg,test,01487.jpg,0
train,00948.jpg,val,00473.jpg,0
train,00948.jpg,val,00474.jpg,0
train,00948.jpg,val,00475.jpg,0
train,00948.jpg,val,00476.jpg,0
train,00948.jpg,val,00477.jpg,0
train,00948.jpg,test,00392.jpg,0
train,00948.jpg,test,01486.jpg,0
train,00948.jpg,test,01487.jpg,0
train,00949.jpg,val,00473.jpg,0
train,00949.jpg,val,00474.jpg,0
train,00949.jpg,val,00475.jpg,0
train,00949.jpg,val,00476.jpg,0
train,00949.jpg,val,00477.jpg,0
train,00949.jpg,test,00392.jpg,0
train,00949.jpg,test,01486.jpg,0
train,00949.jpg,test,01487.jpg,0
train,00950.jpg,val,00473.jpg,0
train,00950.jpg,val,00474.jpg,0
train,00950.jpg,val,00475.jpg,0
train,00950.jpg,val,00476.jpg,0
train,00950.jpg,val,00477.jpg,0
train,00950.jpg,test,00392.jpg,0
train,00950.jpg,test,01486.jpg,0
train,00950.jpg,test,01487.jpg,0
train,00951.jpg,val,00473.jpg,0
train,00951.jpg,val,00474.jpg,0
train,00951.jpg,val,00475.jpg,0
train,00951.jpg,val,00476.jpg,0
train,00951.jpg,val,00477.jpg,0
train,00951.jpg,test,00392.jpg,0
train,00951.jpg,test,01486.jpg,0
train,00951.jpg,test,01487.jpg,0
train,00952.jpg,val,00473.jpg,0
train,00952.jpg,val,00474.jpg,0
train,00952.jpg,val,00475.jpg,0
train,00952.jpg,val,00476.jpg,0
train,00952.jpg,val,00477.jpg,0
train,00952.jpg,test,00392.jpg,0
train,00952.jpg,test,01486.jpg,0
train,00952.jpg,test,01487.jpg,0
train,00953.jpg,val,00473.jpg,0
train,00953.jpg,val,00474.jpg,0
train,00953.jpg,val,00475.jpg,0
train,00953.jpg,val,00476.jpg,0
train,00953.jpg,val,00477.jpg,0
train,00953.jpg,test,00392.jpg,0
train,00953.jpg,test,01486.jpg,0
train,00953.jpg,test,01487.jpg,0
train,00954.jpg,val,00473.jpg,0
train,00954.jpg,val,00474.jpg,0
train,00954.jpg,val,00475.jpg,0
train,00954.jpg,val,00476.jpg,0
train,00954.jpg,val,00477.jpg,0
train,00954.jpg,test,00392.jpg,0
train,00954.jpg,test,01486.jpg,0
train,00954.jpg,test,01487.jpg,0
train,00955.jpg,val,00478.jpg,0
train,00955.jpg,val,00479.jpg,0
train,00955.jpg,val,00480.jpg,0
train,00955.jpg,val,00481.jpg,0
train,00956.jpg,val,00478.jpg,0
train,00956.jpg,val,00479.jpg,0
train,00956.jpg,val,00480.jpg,0
train,00956.jpg,val,00481.jpg,0
train,00957.jpg,val,00478.jpg,0
train,00957.jpg,val,00479.jpg,0
train,00957.jpg,val,00480.jpg,0
train,00957.jpg,val,00481.jpg,0
train,00958.jpg,val,00478.jpg,0
train,00958.jpg,val,00479.jpg,0
train,00958.jpg,val,00480.jpg,0
train,00958.jpg,val,00481.jpg,0
train,00959.jpg,val,00478.jpg,0
train,00959.jpg,val,00479.jpg,0
train,00959.jpg,val,00480.jpg,0
train,00959.jpg,val,00481.jpg,0
train,00960.jpg,val,00478.jpg,0
train,00960.jpg,val,00479.jpg,0
train,00960.jpg,val,00480.jpg,0
train,00960.jpg,val,00481.jpg,0
train,00961.jpg,val,00482.jpg,0
train,00961.jpg,val,00483.jpg,0
train,00961.jpg,test,00393.jpg,0
train,00961.jpg,test,01488.jpg,0
train,00962.jpg,val,00482.jpg,0
train,00962.jpg,val,00483.jpg,0
train,00962.jpg,test,00393.jpg,0
train,00962.jpg,test,01488.jpg,0
train,00963.jpg,val,00482.jpg,0
train,00963.jpg,val,00483.jpg,0
train,00963.jpg,test,00393.jpg,0
train,00963.jpg,test,01488.jpg,0
train,00964.jpg,val,00482.jpg,0
train,00964.jpg,val,00483.jpg,0
train,00964.jpg,test,00393.jpg,0
train,00964.jpg,test,01488.jpg,0
train,00965.jpg,val,00482.jpg,0
train,00965.jpg,val,00483.jpg,0
train,00965.jpg,test,00393.jpg,0
train,00965.jpg,test,01488.jpg,0
train,00966.jpg,val,00482.jpg,0
train,00966.jpg,val,00483.jpg,0
train,00966.jpg,test,00393.jpg,0
train,00966.jpg,test,01488.jpg,0
train,00967.jpg,val,00484.jpg,0
train,00968.jpg,val,00485.jpg,0
train,00968.jpg,val,00486.jpg,0
train,00968.jpg,test,00394.jpg,0
train,00968.jpg,test,00395.jpg,0
train,00968.jpg,test,00396.jpg,0
train,00968.jpg,test,01489.jpg,0
train,00968.jpg,test,01490.jpg,0
train,00968.jpg,test,01491.jpg,0
train,00968.jpg,test,01492.jpg,0
train,00969.jpg,val,00485.jpg,0
train,00969.jpg,val,00486.jpg,0
train,00969.jpg,test,00394.jpg,0
train,00969.jpg,test,00395.jpg,0
train,00969.jpg,test,00396.jpg,0
train,00969.jpg,test,01489.jpg,0
train,00969.jpg,test,01490.jpg,0
train,00969.jpg,test,01491.jpg,0
train,00969.jpg,test,01492.jpg,0
train,00970.jpg,val,00485.jpg,0
train,00970.jpg,val,00486.jpg,0
train,00970.jpg,test,00394.jpg,0
train,00970.jpg,test,00395.jpg,0
train,00970.jpg,test,00396.jpg,0
train,00970.jpg,test,01489.jpg,0
train,00970.jpg,test,01490.jpg,0
train,00970.jpg,test,01491.jpg,0
train,00970.jpg,test,01492.jpg,0
train,00971.jpg,val,00485.jpg,0
train,00971.jpg,val,00486.jpg,0
train,00971.jpg,test,00394.jpg,0
train,00971.jpg,test,00395.jpg,0
train,00971.jpg,test,00396.jpg,0
train,00971.jpg,test,01489.jpg,0
train,00971.jpg,test,01490.jpg,0
train,00971.jpg,test,01491.jpg,0
train,00971.jpg,test,01492.jpg,0
train,00972.jpg,val,00485.jpg,0
train,00972.jpg,val,00486.jpg,0
train,00972.jpg,test,00394.jpg,0
train,00972.jpg,test,00395.jpg,0
train,00972.jpg,test,00396.jpg,0
train,00972.jpg,test,01489.jpg,0
train,00972.jpg,test,01490.jpg,0
train,00972.jpg,test,01491.jpg,0
train,00972.jpg,test,01492.jpg,0
train,00973.jpg,val,00485.jpg,0
train,00973.jpg,val,00486.jpg,0
train,00973.jpg,test,00394.jpg,0
train,00973.jpg,test,00395.jpg,0
train,00973.jpg,test,00396.jpg,0
train,00973.jpg,test,01489.jpg,0
train,00973.jpg,test,01490.jpg,0
train,00973.jpg,test,01491.jpg,0
train,00973.jpg,test,01492.jpg,0
train,00974.jpg,val,00485.jpg,0
train,00974.jpg,val,00486.jpg,0
train,00974.jpg,test,00394.jpg,0
train,00974.jpg,test,00395.jpg,0
train,00974.jpg,test,00396.jpg,0
train,00974.jpg,test,01489.jpg,0
train,00974.jpg,test,01490.jpg,0
train,00974.jpg,test,01491.jpg,0
train,00974.jpg,test,01492.jpg,0
train,00975.jpg,val,00488.jpg,0
train,00975.jpg,val,00489.jpg,0
train,00976.jpg,val,00488.jpg,0
train,00976.jpg,val,00489.jpg,0
train,00977.jpg,val,00490.jpg,0
train,00977.jpg,val,00491.jpg,0
train,00977.jpg,val,00494.jpg,0
train,00978.jpg,val,00490.jpg,0
train,00978.jpg,val,00491.jpg,0
train,00978.jpg,val,00494.jpg,0
train,00979.jpg,val,00490.jpg,0
train,00979.jpg,val,00491.jpg,0
train,00979.jpg,val,00494.jpg,0
train,00980.jpg,val,00490.jpg,0
train,00980.jpg,val,00491.jpg,0
train,00980.jpg,val,00494.jpg,0
train,00982.jpg,val,00492.jpg,0
train,00982.jpg,val,00493.jpg,0
train,00983.jpg,val,00495.jpg,0
train,00984.jpg,val,00492.jpg,0
train,00984.jpg,val,00493.jpg,0
train,00985.jpg,val,00492.jpg,0
train,00985.jpg,val,00493.jpg,0
train,00986.jpg,val,00492.jpg,0
train,00986.jpg,val,00493.jpg,0
train,00988.jpg,val,00495.jpg,0
train,00989.jpg,val,00496.jpg,0
train,00989.jpg,test,00397.jpg,0
train,00989.jpg,test,01493.jpg,0
train,00990.jpg,val,00496.jpg,0
train,00990.jpg,test,00397.jpg,0
train,00990.jpg,test,01493.jpg,0
train,00991.jpg,val,00496.jpg,0
train,00991.jpg,test,00397.jpg,0
train,00991.jpg,test,01493.jpg,0
train,00992.jpg,val,00497.jpg,0
train,00992.jpg,val,00498.jpg,0
train,00992.jpg,val,00499.jpg,0
train,00992.jpg,val,00500.jpg,0
train,00992.jpg,test,00399.jpg,0
train,00992.jpg,test,01495.jpg,0
train,00992.jpg,test,01497.jpg,0
train,00993.jpg,test,00400.jpg,0
train,00993.jpg,test,01496.jpg,0
train,00994.jpg,val,00497.jpg,0
train,00994.jpg,val,00498.jpg,0
train,00994.jpg,val,00499.jpg,0
train,00994.jpg,val,00500.jpg,0
train,00994.jpg,test,00399.jpg,0
train,00994.jpg,test,01495.jpg,0
train,00994.jpg,test,01497.jpg,0
train,00995.jpg,val,00497.jpg,0
train,00995.jpg,val,00498.jpg,0
train,00995.jpg,val,00499.jpg,0
train,00995.jpg,val,00500.jpg,0
train,00995.jpg,test,00399.jpg,0
train,00995.jpg,test,01495.jpg,0
train,00995.jpg,test,01497.jpg,0
train,00996.jpg,test,00400.jpg,0
train,00996.jpg,test,01496.jpg,0
train,00997.jpg,test,00398.jpg,0
train,00997.jpg,test,01494.jpg,0
train,00998.jpg,test,00398.jpg,0
train,00998.jpg,test,01494.jpg,0
train,00999.jpg,val,00497.jpg,0
train,00999.jpg,val,00498.jpg,0
train,00999.jpg,val,00499.jpg,0
train,00999.jpg,val,00500.jpg,0
train,00999.jpg,test,00399.jpg,0
train,00999.jpg,test,01495.jpg,0
train,00999.jpg,test,01497.jpg,0
train,01000.jpg,test,00400.jpg,0
train,01000.jpg,test,01496.jpg,0
train,01001.jpg,val,00497.jpg,0
train,01001.jpg,val,00498.jpg,0
train,01001.jpg,val,00499.jpg,0
train,01001.jpg,val,00500.jpg,0
train,01001.jpg,test,00399.jpg,0
train,01001.jpg,test,01495.jpg,0
train,01001.jpg,test,01497.jpg,0
train,01002.jpg,val,00497.jpg,0
train,01002.jpg,val,00498.jpg,0
train,01002.jpg,val,00499.jpg,0
train,01002.jpg,val,00500.jpg,0
train,01002.jpg,test,00399.jpg,0
train,01002.jpg,test,01495.jpg,0
train,01002.jpg,test,01497.jpg,0
train,01003.jpg,val,00502.jpg,0
train,01003.jpg,val,00503.jpg,0
train,01006.jpg,val,00513.jpg,0
train,01006.jpg,val,00514.jpg,0
train,01006.jpg,val,00516.jpg,0
train,01006.jpg,test,01502.jpg,0
train,01007.jpg,val,00504.jpg,0
train,01007.jpg,val,00505.jpg,0
train,01007.jpg,val,00506.jpg,0
train,01007.jpg,val,00507.jpg,0
train,01007.jpg,val,00508.jpg,0
train,01007.jpg,val,00509.jpg,0
train,01007.jpg,val,00510.jpg,0
train,01007.jpg,val,00511.jpg,0
train,01007.jpg,val,00512.jpg,0
train,01007.jpg,val,00515.jpg,0
train,01007.jpg,test,00402.jpg,0
train,01007.jpg,test,00403.jpg,0
train,01007.jpg,test,01499.jpg,0
train,01007.jpg,test,01500.jpg,0
train,01007.jpg,test,01501.jpg,0
train,01008.jpg,val,00504.jpg,0
train,01008.jpg,val,00505.jpg,0
train,01008.jpg,val,00506.jpg,0
train,01008.jpg,val,00507.jpg,0
train,01008.jpg,val,00508.jpg,0
train,01008.jpg,val,00509.jpg,0
train,01008.jpg,val,00510.jpg,0
train,01008.jpg,val,00511.jpg,0
train,01008.jpg,val,00512.jpg,0
train,01008.jpg,val,00515.jpg,0
train,01008.jpg,test,00402.jpg,0
train,01008.jpg,test,00403.jpg,0
train,01008.jpg,test,01499.jpg,0
train,01008.jpg,test,01500.jpg,0
train,01008.jpg,test,01501.jpg,0
train,01009.jpg,val,00504.jpg,0
train,01009.jpg,val,00505.jpg,0
train,01009.jpg,val,00506.jpg,0
train,01009.jpg,val,00507.jpg,0
train,01009.jpg,val,00508.jpg,0
train,01009.jpg,val,00509.jpg,0
train,01009.jpg,val,00510.jpg,0
train,01009.jpg,val,00511.jpg,0
train,01009.jpg,val,00512.jpg,0
train,01009.jpg,val,00515.jpg,0
train,01009.jpg,test,00402.jpg,0
train,01009.jpg,test,00403.jpg,0
train,01009.jpg,test,01499.jpg,0
train,01009.jpg,test,01500.jpg,0
train,01009.jpg,test,01501.jpg,0
train,01010.jpg,val,00504.jpg,0
train,01010.jpg,val,00505.jpg,0
train,01010.jpg,val,00506.jpg,0
train,01010.jpg,val,00507.jpg,0
train,01010.jpg,val,00508.jpg,0
train,01010.jpg,val,00509.jpg,0
train,01010.jpg,val,00510.jpg,0
train,01010.jpg,val,00511.jpg,0
train,01010.jpg,val,00512.jpg,0
train,01010.jpg,val,00515.jpg,0
train,01010.jpg,test,00402.jpg,0
train,01010.jpg,test,00403.jpg,0
train,01010.jpg,test,01499.jpg,0
train,01010.jpg,test,01500.jpg,0
train,01010.jpg,test,01501.jpg,0
train,01011.jpg,val,00504.jpg,0
train,01011.jpg,val,00505.jpg,0
train,01011.jpg,val,00506.jpg,0
train,01011.jpg,val,00507.jpg,0
train,01011.jpg,val,00508.jpg,0
train,01011.jpg,val,00509.jpg,0
train,01011.jpg,val,00510.jpg,0
train,01011.jpg,val,00511.jpg,0
train,01011.jpg,val,00512.jpg,0
train,01011.jpg,val,00515.jpg,0
train,01011.jpg,test,00402.jpg,0
train,01011.jpg,test,00403.jpg,0
train,01011.jpg,test,01499.jpg,0
train,01011.jpg,test,01500.jpg,0
train,01011.jpg,test,01501.jpg,0
train,01012.jpg,val,00504.jpg,0
train,01012.jpg,val,00505.jpg,0
train,01012.jpg,val,00506.jpg,0
train,01012.jpg,val,00507.jpg,0
train,01012.jpg,val,00508.jpg,0
train,01012.jpg,val,00509.jpg,0
train,01012.jpg,val,00510.jpg,0
train,01012.jpg,val,00511.jpg,0
train,01012.jpg,val,00512.jpg,0
train,01012.jpg,val,00515.jpg,0
train,01012.jpg,test,00402.jpg,0
train,01012.jpg,test,00403.jpg,0
train,01012.jpg,test,01499.jpg,0
train,01012.jpg,test,01500.jpg,0
train,01012.jpg,test,01501.jpg,0
train,01013.jpg,val,00504.jpg,0
train,01013.jpg,val,00505.jpg,0
train,01013.jpg,val,00506.jpg,0
train,01013.jpg,val,00507.jpg,0
train,01013.jpg,val,00508.jpg,0
train,01013.jpg,val,00509.jpg,0
train,01013.jpg,val,00510.jpg,0
train,01013.jpg,val,00511.jpg,0
train,01013.jpg,val,00512.jpg,0
train,01013.jpg,val,00515.jpg,0
train,01013.jpg,test,00402.jpg,0
train,01013.jpg,test,00403.jpg,0
train,01013.jpg,test,01499.jpg,0
train,01013.jpg,test,01500.jpg,0
train,01013.jpg,test,01501.jpg,0
train,01014.jpg,val,00504.jpg,0
train,01014.jpg,val,00505.jpg,0
train,01014.jpg,val,00506.jpg,0
train,01014.jpg,val,00507.jpg,0
train,01014.jpg,val,00508.jpg,0
train,01014.jpg,val,00509.jpg,0
train,01014.jpg,val,00510.jpg,0
train,01014.jpg,val,00511.jpg,0
train,01014.jpg,val,00512.jpg,0
train,01014.jpg,val,00515.jpg,0
train,01014.jpg,test,00402.jpg,0
train,01014.jpg,test,00403.jpg,0
train,01014.jpg,test,01499.jpg,0
train,01014.jpg,test,01500.jpg,0
train,01014.jpg,test,01501.jpg,0
train,01015.jpg,val,00504.jpg,0
train,01015.jpg,val,00505.jpg,0
train,01015.jpg,val,00506.jpg,0
train,01015.jpg,val,00507.jpg,0
train,01015.jpg,val,00508.jpg,0
train,01015.jpg,val,00509.jpg,0
train,01015.jpg,val,00510.jpg,0
train,01015.jpg,val,00511.jpg,0
train,01015.jpg,val,00512.jpg,0
train,01015.jpg,val,00515.jpg,0
train,01015.jpg,test,00402.jpg,0
train,01015.jpg,test,00403.jpg,0
train,01015.jpg,test,01499.jpg,0
train,01015.jpg,test,01500.jpg,0
train,01015.jpg,test,01501.jpg,0
train,01016.jpg,val,00504.jpg,0
train,01016.jpg,val,00505.jpg,0
train,01016.jpg,val,00506.jpg,0
train,01016.jpg,val,00507.jpg,0
train,01016.jpg,val,00508.jpg,0
train,01016.jpg,val,00509.jpg,0
train,01016.jpg,val,00510.jpg,0
train,01016.jpg,val,00511.jpg,0
train,01016.jpg,val,00512.jpg,0
train,01016.jpg,val,00515.jpg,0
train,01016.jpg,test,00402.jpg,0
train,01016.jpg,test,00403.jpg,0
train,01016.jpg,test,01499.jpg,0
train,01016.jpg,test,01500.jpg,0
train,01016.jpg,test,01501.jpg,0
train,01017.jpg,val,00504.jpg,0
train,01017.jpg,val,00505.jpg,0
train,01017.jpg,val,00506.jpg,0
train,01017.jpg,val,00507.jpg,0
train,01017.jpg,val,00508.jpg,0
train,01017.jpg,val,00509.jpg,0
train,01017.jpg,val,00510.jpg,0
train,01017.jpg,val,00511.jpg,0
train,01017.jpg,val,00512.jpg,0
train,01017.jpg,val,00515.jpg,0
train,01017.jpg,test,00402.jpg,0
train,01017.jpg,test,00403.jpg,0
train,01017.jpg,test,01499.jpg,0
train,01017.jpg,test,01500.jpg,0
train,01017.jpg,test,01501.jpg,0
train,01018.jpg,val,00504.jpg,0
train,01018.jpg,val,00505.jpg,0
train,01018.jpg,val,00506.jpg,0
train,01018.jpg,val,00507.jpg,0
train,01018.jpg,val,00508.jpg,0
train,01018.jpg,val,00509.jpg,0
train,01018.jpg,val,00510.jpg,0
train,01018.jpg,val,00511.jpg,0
train,01018.jpg,val,00512.jpg,0
train,01018.jpg,val,00515.jpg,0
train,01018.jpg,test,00402.jpg,0
train,01018.jpg,test,00403.jpg,0
train,01018.jpg,test,01499.jpg,0
train,01018.jpg,test,01500.jpg,0
train,01018.jpg,test,01501.jpg,0
train,01019.jpg,val,00504.jpg,0
train,01019.jpg,val,00505.jpg,0
train,01019.jpg,val,00506.jpg,0
train,01019.jpg,val,00507.jpg,0
train,01019.jpg,val,00508.jpg,0
train,01019.jpg,val,00509.jpg,0
train,01019.jpg,val,00510.jpg,0
train,01019.jpg,val,00511.jpg,0
train,01019.jpg,val,00512.jpg,0
train,01019.jpg,val,00515.jpg,0
train,01019.jpg,test,00402.jpg,0
train,01019.jpg,test,00403.jpg,0
train,01019.jpg,test,01499.jpg,0
train,01019.jpg,test,01500.jpg,0
train,01019.jpg,test,01501.jpg,0
train,01020.jpg,val,00504.jpg,0
train,01020.jpg,val,00505.jpg,0
train,01020.jpg,val,00506.jpg,0
train,01020.jpg,val,00507.jpg,0
train,01020.jpg,val,00508.jpg,0
train,01020.jpg,val,00509.jpg,0
train,01020.jpg,val,00510.jpg,0
train,01020.jpg,val,00511.jpg,0
train,01020.jpg,val,00512.jpg,0
train,01020.jpg,val,00515.jpg,0
train,01020.jpg,test,00402.jpg,0
train,01020.jpg,test,00403.jpg,0
