confidence,best_iou,fp_type,image
0.4228765070438385,0.0,Background,01156
0.7061140537261963,0.4901021139525596,Localization,01161
0.6209428906440735,0.45871701597894327,Localization,01184
0.2821243405342102,0.0,Background,01184
0.25940704345703125,0.0,Background,01197
0.29739660024642944,0.0,Background,01198
0.6000745892524719,0.0,Background,01199
0.28247928619384766,0.0,Background,01199
0.5010992884635925,0.0,Background,01200
0.325782835483551,0.0,Background,01201
0.28452804684638977,0.0,Background,01205
0.5847821235656738,0.46780066043188584,Localization,01230
0.49103546142578125,0.0,Background,01296
0.37392449378967285,0.32287369264716476,Localization,01296
0.7824768424034119,0.48450620270797357,Localization,01425
0.35847750306129456,0.0,Background,01493
0.6646634340286255,0.6203715371457699,Duplicate,01504
0.5900476574897766,0.0,Background,01504
0.2522817552089691,0.0,Background,01518
0.6749026775360107,0.0,Background,01550
0.5583937764167786,0.0,Background,01553
0.3111419677734375,0.0,Background,01570
0.3310690224170685,0.0,Background,01571
0.2659478485584259,0.0,Background,01573
0.4263595938682556,0.0,Background,01574
0.4557386040687561,0.0,Background,01576
0.2574000656604767,0.0,Background,01578
0.36477378010749817,0.0,Background,01579
0.3541474938392639,0.0,Background,01580
0.4372921288013458,0.0,Background,01581
0.4296497404575348,0.0,Background,01583
0.3066251873970032,0.0,Background,01584
0.7884353399276733,0.0,Background,01605
0.7030260562896729,0.48345199176355375,Localization,01623
0.7154731154441833,0.48853062188195534,Localization,01630
0.672722339630127,0.0,Background,01683
0.3451564610004425,0.5862875343874748,Duplicate,01718
0.2560097277164459,0.0,Background,01724
0.4039640426635742,0.0,Background,01748
0.29855877161026,0.0,Background,01792
0.6938549876213074,0.4258060751206472,Localization,01879
0.7870657444000244,0.7356403985276763,Duplicate,02034
0.25892722606658936,0.0,Background,02036
0.2732108235359192,0.0,Background,02042
0.4432751536369324,0.0,Background,02047
0.25576895475387573,0.0,Background,02058
0.3362438976764679,0.0,Background,02067
0.2613160312175751,0.0,Background,02077
0.4016616940498352,0.0,Background,02093
0.2554479241371155,0.0,Background,02094
0.5230830311775208,0.23137225707792566,Localization,02102
0.3949577808380127,0.0,Background,02117
0.3543698191642761,0.0,Background,02122
0.43442708253860474,0.0,Background,02127
0.3117368817329407,0.0,Background,02127
0.5237376689910889,0.0,Background,02128
0.2935873866081238,0.0,Background,02128
0.4999234676361084,0.0,Background,02129
0.2834986746311188,0.0,Background,02130
0.28230080008506775,0.0,Background,02132
0.47534942626953125,0.40261567084420996,Localization,02187
0.25080668926239014,0.0,Background,02194
0.633729100227356,0.3805802179793572,Localization,02195
0.7192950248718262,0.0,Background,02231
0.6098230481147766,0.4141643710681575,Localization,02255
0.572512686252594,0.4513174758915702,Localization,02260
0.30108532309532166,0.4255456810610396,Localization,02274
0.4959672689437866,0.29578185479211533,Localization,02275
0.381495863199234,0.46516318565896586,Localization,02275
0.5631107687950134,0.4077928267760547,Localization,02290
0.342652291059494,0.4390099701305413,Localization,02334
0.2827723026275635,0.0,Background,02335
0.7062105536460876,0.0,Background,02347
0.7606831192970276,0.3963276381023747,Localization,02367
0.33005964756011963,0.4864000265993377,Localization,02413
0.2868814170360565,0.3236546405471468,Localization,02420
0.7227349877357483,0.0,Background,02428
0.39938029646873474,0.0,Background,02430
0.2968979775905609,0.6046944737214487,Duplicate,02431
0.4849565029144287,0.0,Background,02437
0.26577356457710266,0.4565643989580796,Localization,02439
0.26574936509132385,0.0,Background,02440
0.38158947229385376,0.0,Background,02442
0.27707451581954956,0.0,Background,02445
0.5159792900085449,0.0,Background,02446
0.8061097860336304,0.0,Background,02449
0.360421359539032,0.0,Background,02450
0.2614787817001343,0.0,Background,02451
0.43776339292526245,0.0,Background,02456
0.3312702476978302,0.0,Background,02458
0.26778319478034973,0.0,Background,02474
0.29786351323127747,0.0,Background,02488
0.3378637433052063,0.0,Background,02503
0.5065606832504272,0.4554203846044199,Localization,02507
0.7257989645004272,0.47246219239594994,Localization,02519
0.2597133219242096,0.0,Background,02529
0.34343239665031433,0.3355638995969177,Localization,02543
0.5660120248794556,0.41039712246915017,Localization,02544
0.42707908153533936,0.0,Background,02565
0.2676851451396942,0.0,Background,02597
