image,GT_index,Prediction_index,IoU,confidence,size,GT_box,Prediction_box
00022.jpg,0,0,0.8102343967101026,,Large,"[636.0000000000001, 277.0002, 812.0, 363.99996000000004]","[617.52832, 273.11436, 819.9526400000001, 361.37556]"
00023.jpg,0,0,0.8916999205028561,,Large,"[394.00000000000006, 352.00007999999997, 601.00032, 430.99992]","[410.68224, 351.44784, 603.4336000000001, 430.00703999999996]"
00024.jpg,0,0,0.9810622754143133,,Large,"[516.0, 111.00024, 708.0, 217.00008000000003]","[515.60704, 111.03012000000003, 708.4825599999999, 215.48988]"
00025.jpg,0,0,0.8861493777278417,,Large,"[375.00032000000004, 308.99987999999996, 674.00064, 503.99963999999994]","[370.66112, 318.17016, 657.7728, 503.40456000000006]"
00026.jpg,0,0,0.8048754112603053,,Large,"[390.0, 18.000000000000014, 774.9996799999999, 270.0]","[429.04319999999996, 40.278600000000004, 770.1529600000001, 269.20476]"
00027.jpg,0,0,0.7162152094667634,,Large,"[379.00032000000004, 149.00004, 816.0, 390.99996000000004]","[416.128, 169.36704, 758.5740799999999, 391.63104]"
00028.jpg,0,0,0.868087956278309,,Small,"[716.0000000000001, 276.99984, 748.0, 308.00016]","[714.514688, 278.079336, 748.722432, 309.312504]"
00029.jpg,0,0,0.9440897492571978,,Large,"[395.99999999999994, 550.0000799999999, 605.99936, 669.00024]","[390.38656, 548.05824, 608.56384, 669.38112]"
00030.jpg,0,0,0.9586053104661348,,Medium,"[338.99904, 302.00004, 448.99967999999996, 363.99996000000004]","[336.885632, 302.64084, 449.54892800000005, 364.51116]"
00031.jpg,0,0,0.939426441014358,,Medium,"[572.0, 338.0004, 704.9996799999999, 390.00024]","[570.53376, 340.108092, 705.03744, 390.539268]"
00033.jpg,0,0,0.9708255483917465,,Medium,"[496.0, 249.99983999999998, 630.00064, 301.99968]","[496.27775999999994, 249.93687599999998, 628.7040000000001, 301.143924]"
00034.jpg,0,0,0.9330722336449851,,Large,"[260.99968, 149.99975999999998, 513.99936, 257.99976000000004]","[262.31680000000006, 152.69508, 510.22208, 255.53772]"
00035.jpg,0,0,0.8002449782134197,,Medium,"[632.9996800000001, 290.00016, 728.99968, 321.99984]","[630.4110719999999, 286.174872, 727.3898879999999, 324.563688]"
00036.jpg,0,0,0.5339329823235367,,Medium,"[617.0003200000001, 303.99984, 693.00032, 328.99968]","[606.81376, 303.980256, 690.20768, 344.24582399999997]"
00037.jpg,0,0,0.7294201036893025,,Large,"[615.9993599999999, 55.00007999999999, 753.9999999999999, 151.99992]","[615.7612799999999, 53.6616, 754.0204799999999, 186.39504]"
00038.jpg,0,0,0.9347224055201506,,Large,"[590.99968, 140.0004, 726.0000000000001, 228.00024000000002]","[587.60768, 139.21380000000002, 725.6416, 230.81724000000003]"
00039.jpg,0,0,0.7322940679195646,,Tiny,"[614.00064, 324.99972, 638.0006400000001, 336.99996]","[610.6052480000001, 323.545428, 637.000512, 337.369932]"
00040.jpg,0,0,0.9581719609719743,,Large,"[213.99936, 1.0004400000000013, 424.99967999999996, 142.0002]","[209.36192, 0.4435200000000039, 422.94784, 143.04888]"
00041.jpg,0,0,0.8994680556606379,,Medium,"[721.00032, 468.0, 789.0003200000001, 508.00032]","[719.166272, 466.00325999999995, 786.861248, 508.00554]"
00042.jpg,0,0,0.8815477668438793,,Tiny,"[562.0, 401.00003999999996, 590.0, 415.99980000000005]","[560.525056, 400.083912, 590.246144, 416.11384799999996]"
00044.jpg,0,0,0.8276604877861995,,Medium,"[557.00032, 201.99996000000002, 636.00064, 254.99988]","[552.853376, 201.540888, 634.728064, 249.062472]"
00045.jpg,1,0,0.9342125081233249,,Small,"[1103.99936, 624.99996, 1150.99968, 653.0000399999999]","[1103.954432, 625.79286, 1150.4532479999998, 653.76666]"
00045.jpg,0,1,0.9082220779379673,,Small,"[817.0003199999999, 299.00016000000005, 861.00032, 321.99984]","[815.370112, 300.18906000000004, 860.8154880000001, 322.10262]"
00046.jpg,0,0,0.9489874494016541,,Large,"[662.0, 313.99992000000003, 1213.00032, 491.99976000000004]","[666.8812800000001, 318.30624, 1206.47552, 493.26768]"
00047.jpg,0,0,0.8919201895285488,,Large,"[488.99968, 236.99988000000002, 1196.0, 480.99996000000004]","[538.65408, 236.93040000000002, 1171.5232, 480.1824]"
00049.jpg,0,0,0.635709802494633,,Large,"[511.00032, 365.00004, 706.00064, 453.99995999999993]","[474.81791999999996, 366.48108, 742.65664, 465.63444]"
00050.jpg,0,0,0.9040535345253475,,Medium,"[725.99936, 188.00028000000003, 796.0000000000001, 257.00004]","[726.115904, 189.542196, 799.183296, 254.709324]"
00051.jpg,0,0,0.7684760302645243,,Large,"[236.0, 318.00023999999996, 476.0, 541.00008]","[232.43648000000002, 317.13480000000004, 477.39264, 492.82344]"
00052.jpg,0,0,0.9704141280215802,,Large,"[825.0003199999999, 156.00024000000002, 966.99968, 232.99992000000003]","[824.3955199999999, 154.57068, 967.2281599999999, 232.55316000000002]"
00053.jpg,0,0,0.9594106289159064,,Large,"[312.0, 227.99988000000002, 644.9996799999999, 357.00012]","[312.11264000000006, 226.77192000000002, 638.1875200000001, 358.49016]"
00054.jpg,0,0,0.95372370166234,,Large,"[104.0, 293.0004, 270.00064000000003, 354.00023999999996]","[101.62112, 291.5199, 269.54560000000004, 353.6001]"
00056.jpg,0,0,0.8615819175815512,,Large,"[384.0, 100.9998, 684.9996799999999, 234.99972000000002]","[387.7248, 102.39408, 682.9337599999999, 252.2808]"
00057.jpg,0,0,0.9651450752368924,,Large,"[483.00032, 147.00024, 654.00064, 277.99992]","[480.22144, 145.9638, 654.5241599999999, 279.12275999999997]"
00058.jpg,0,0,0.8120321973620986,,Tiny,"[424.00000000000006, 438.99984, 451.00032, 452.00016000000005]","[422.718912, 438.50411999999994, 450.046528, 453.30948]"
00059.jpg,0,0,0.810422878671214,,Tiny,"[530.99968, 426.99996, 554.0, 439.00019999999995]","[529.246912, 426.0181319999999, 553.243968, 438.658668]"
00060.jpg,0,0,0.9016090665017524,,Small,"[457.00032, 456.99984, 493.00031999999993, 474.99983999999995]","[456.441088, 457.043616, 493.56723200000005, 473.74358399999994]"
00061.jpg,0,0,0.9347643354348356,,Medium,"[634.99968, 321.00048, 709.0003200000001, 353.00016000000005]","[633.2399999999999, 320.653368, 707.5113599999999, 353.433672]"
00062.jpg,0,0,0.9557460512903224,,Medium,"[578.0, 302.00004, 698.99968, 368.00028000000003]","[575.411456, 302.255712, 697.425664, 367.51852799999995]"
00063.jpg,0,0,0.9592745329814686,,Large,"[486.99968000000007, 398.99988, 631.99936, 471.99996]","[485.80032000000006, 398.05379999999997, 629.52512, 471.74508]"
00064.jpg,0,0,0.945255270270376,,Large,"[440.99968, 279.0, 850.9990399999999, 438.99984]","[444.80320000000006, 278.87651999999997, 833.65568, 439.44156000000004]"
00065.jpg,0,0,0.945239695864378,,Large,"[742.9996800000001, 242.00028, 1023.99936, 432.00036000000006]","[741.9148799999999, 240.06636, 1015.5814399999999, 434.43252]"
00066.jpg,0,0,0.9642181049085761,,Large,"[506.99968, 123.99983999999999, 714.0, 227.99952]","[504.71487999999994, 123.90444000000001, 709.07584, 228.05172]"
00067.jpg,0,0,0.8412518333925281,,Large,"[254.0, 171.00036, 600.00064, 267.00012000000004]","[274.26432, 169.68672, 574.79808, 269.27856]"
00068.jpg,0,0,0.8661416969453688,,Large,"[445.99936, 120.00024, 944.9996800000001, 356.0004]","[460.52416, 122.07563999999999, 897.4304000000001, 355.53636]"
00069.jpg,0,0,0.937800787760135,,Large,"[868.0, 167.00004, 1256.99968, 368.00028000000003]","[878.73024, 171.13896, 1254.38976, 366.33096000000006]"
00070.jpg,0,0,0.8984562603980799,,Large,"[441.00032, 318.00023999999996, 698.0, 428.0004]","[461.07392000000004, 318.85056000000003, 696.8063999999999, 426.59712]"
00072.jpg,0,0,0.9483377326846457,,Large,"[469.00032000000004, 209.99988000000005, 700.0006400000001, 321.00012]","[470.32576000000006, 213.78456, 699.3715199999999, 319.94856]"
00073.jpg,0,0,0.9188680561678534,,Medium,"[187.99999999999997, 235.00008, 276.0, 266.00039999999996]","[188.02911999999998, 233.37388800000002, 277.20736, 266.644512]"
00074.jpg,0,0,0.9508964188138815,,Large,"[614.00064, 26.000280000000004, 848.0, 115.00019999999999]","[614.16192, 27.292391999999992, 842.0582400000001, 114.18847199999999]"
00075.jpg,0,0,0.8985435094019121,,Large,"[576.99968, 11.00016, 903.00032, 144.0]","[602.04736, 8.576999999999995, 904.12352, 143.08092]"
00076.jpg,0,0,0.9485751417183252,,Medium,"[526.99968, 203.00003999999998, 670.0, 262.9998]","[524.8352, 201.93508799999998, 671.37088, 263.661552]"
00077.jpg,0,0,0.9091019634311326,,Large,"[529.00032, 0.9997200000000006, 712.00064, 80.99964]","[516.00576, 0.00014400000000414082, 711.2838399999999, 80.114544]"
00078.jpg,0,0,0.9331177528173984,,Large,"[1094.99968, 373.99968, 1281.00032, 458.99999999999994]","[1091.91616, 372.01572, 1279.02272, 460.7089200000001]"
00079.jpg,0,0,0.9148143854092385,,Medium,"[582.99968, 152.99964, 657.0003199999999, 189.99971999999997]","[579.165888, 152.573544, 655.458112, 190.238616]"
00080.jpg,0,0,0.963825801715354,,Medium,"[426.99968, 156.99996000000002, 552.9990399999999, 200.99988]","[425.50700800000004, 156.178008, 552.753472, 200.79367200000002]"
00081.jpg,0,0,0.9527143698940219,,Medium,"[605.00032, 348.00048, 703.00096, 389.00016000000005]","[603.69952, 348.462504, 703.1676800000001, 389.929176]"
00082.jpg,0,0,0.9506764477021615,,Medium,"[540.99968, 262.99980000000005, 691.00032, 320.00004]","[537.4566400000001, 263.029068, 695.03232, 319.95061200000004]"
00083.jpg,0,0,0.966524787462551,,Large,"[386.99968, 198.00000000000003, 746.0000000000001, 420.99983999999995]","[385.34272, 197.39556, 738.8147200000001, 422.50428000000005]"
00084.jpg,0,0,0.9037704714088325,,Large,"[291.99999999999994, 142.99955999999997, 818.00064, 631.9997999999999]","[294.8736, 150.24384, 857.0419200000001, 626.7556800000001]"
00085.jpg,0,0,0.9230426863255395,,Medium,"[643.0003199999999, 342.99971999999997, 731.00032, 413.99964]","[640.522368, 343.506528, 733.936512, 414.973152]"
00086.jpg,0,0,0.8441745359218907,,Large,"[727.0003199999999, 329.99976, 871.00032, 397.00008]","[721.50144, 329.51484, 870.00704, 405.49572]"
00087.jpg,0,0,0.8831154811475831,,Small,"[639.00032, 251.99964, 690.00064, 281.99988]","[634.584896, 252.120132, 691.274944, 281.509308]"
00089.jpg,0,0,0.916299987503966,,Large,"[560.0, 462.00023999999996, 726.00064, 550.00008]","[557.3945600000001, 462.69432000000006, 736.4268800000001, 550.39608]"
00090.jpg,0,0,0.9599350815991711,,Large,"[600.0000000000001, 190.00008, 910.0006400000001, 365.9997599999999]","[603.76256, 189.66636, 915.1776, 364.17636]"
00091.jpg,0,0,0.8988064802155724,,Medium,"[617.99936, 488.99952, 732.9996800000001, 564.9998400000001]","[618.32736, 485.88659999999993, 735.35712, 561.70332]"
00092.jpg,0,0,0.7616143120069276,,Large,"[428.99968, 391.00032, 748.99968, 557.9999999999999]","[406.5312, 369.30384, 774.7936, 556.1798399999999]"
00093.jpg,0,0,0.8591120505560222,,Large,"[572.0, 202.00032000000002, 848.99968, 382.00032000000004]","[584.96064, 210.45600000000002, 849.1487999999999, 372.7656]"
00094.jpg,0,0,0.9440603238852935,,Large,"[262.99967999999996, 199.00008, 458.99968, 320.99976000000004]","[261.70048, 197.74188000000004, 459.33376000000004, 325.9026]"
00095.jpg,0,0,0.9026677795940101,,Medium,"[265.00032, 146.00016000000002, 370.0, 213.00047999999998]","[263.15328, 144.455976, 372.79936, 215.535384]"
00096.jpg,0,0,0.8845523830653089,,Medium,"[237.00032, 29.999879999999997, 364.00064, 100.9998]","[235.42496, 23.913431999999997, 362.56032, 99.748872]"
00097.jpg,0,0,0.9398072992872941,,Large,"[297.00096, 203.00004000000004, 715.0003200000001, 514.9998]","[295.0784, 213.26003999999998, 711.6057599999999, 510.17436000000004]"
00098.jpg,0,0,0.952500922358538,,Medium,"[484.99967999999996, 394.99956, 577.99936, 460.99979999999994]","[481.698944, 394.43706, 577.677696, 460.87254]"
00099.jpg,0,0,0.9705311442531717,,Large,"[576.00064, 191.00016000000002, 790.0, 346.00032]","[576.4678400000001, 191.8368, 785.80032, 345.62304]"
00100.jpg,0,0,0.9253264988261398,,Medium,"[476.0, 224.99964000000003, 546.00064, 263.99988]","[474.27225599999997, 225.221472, 548.747264, 264.403008]"
00101.jpg,0,0,0.9565425671174677,,Medium,"[496.99968, 376.99992, 629.99936, 444.00023999999996]","[498.30144000000007, 379.24671599999994, 630.00832, 444.028644]"
00102.jpg,0,0,0.9183354598858995,,Large,"[568.99968, 389.00016000000005, 824.9996799999999, 490.00031999999993]","[571.7107199999999, 389.5794, 818.4128, 494.54460000000006]"
00103.jpg,0,0,0.9835436019454059,,Large,"[512.0006400000001, 74.99987999999999, 697.0003200000001, 177.00011999999998]","[511.94624000000005, 76.12595999999999, 697.088, 176.52347999999998]"
00104.jpg,0,0,0.8963307447244883,,Medium,"[620.99968, 297.0, 684.9996800000001, 346.99968]","[617.323136, 299.333304, 685.435264, 346.888296]"
00105.jpg,0,0,0.8672424154691393,,Medium,"[616.00064, 131.99976, 761.00032, 181.00007999999997]","[612.05696, 131.17968000000002, 748.97984, 180.31104]"
00106.jpg,0,0,0.950932492890022,,Large,"[552.0006400000001, 166.00032, 700.0006400000001, 229.00032000000002]","[549.53856, 167.455476, 701.20832, 228.810924]"
00107.jpg,0,0,0.9419055187909443,,Medium,"[693.00032, 227.99988000000002, 812.0006400000001, 273.99996]","[691.938368, 226.407564, 812.2305920000001, 273.30699599999997]"
00108.jpg,0,0,0.9673222362954083,,Large,"[574.0, 258.99984, 822.9996800000001, 342.0]","[572.80704, 257.0796, 822.04224, 341.84952]"
00109.jpg,0,0,0.9238380942867871,,Large,"[724.9996799999999, 242.99999999999997, 929.9993599999999, 344.00016]","[722.5036799999999, 242.69796, 926.51776, 348.96348]"
00110.jpg,0,0,0.8854028560393118,,Medium,"[762.0, 264.99996, 838.0, 295.0002]","[759.739328, 267.48118800000003, 837.8465919999999, 294.818652]"
00111.jpg,0,0,0.9452667009974407,,Large,"[623.9993600000001, 249.00048, 802.0, 317.00016]","[624.2272, 247.74634800000004, 797.1744000000001, 316.341972]"
00112.jpg,0,0,0.726782590358021,,Medium,"[645.0003200000001, 184.00032000000002, 788.00064, 243.00000000000003]","[646.1024, 182.20571999999999, 787.2697600000001, 262.61892]"
00113.jpg,0,0,0.8076350392543545,,Small,"[613.99936, 278.99964, 680.9996799999999, 299.99988]","[615.8380159999999, 278.718516, 673.329344, 301.24724399999997]"
00114.jpg,0,0,0.8878752239633072,,Medium,"[674.0, 297.0, 801.00032, 337.99967999999996]","[672.5917440000001, 297.502524, 797.823616, 341.064036]"
00115.jpg,0,0,0.9398734269938857,,Medium,"[423.99935999999997, 274.00032, 538.0, 328.00032]","[422.58905599999997, 272.98652400000003, 537.193344, 329.353956]"
00116.jpg,0,0,0.9322090144100256,,Large,"[421.9999999999999, 163.99980000000002, 861.00032, 272.99988]","[418.30592, 161.58132, 861.36896, 277.4358]"
00117.jpg,0,0,0.9199163036446436,,Large,"[635.99936, 205.0002, 893.9999999999999, 296.00028]","[625.91104, 204.25572, 902.7699200000001, 295.53516]"
00118.jpg,0,0,0.8915477505894391,,Large,"[520.0, 201.99995999999996, 856.0, 297.99971999999997]","[529.48224, 200.29463999999996, 837.54752, 296.86968]"
00119.jpg,0,0,0.9505831586567697,,Large,"[493.00032, 236.99988000000002, 892.0006400000001, 354.99996]","[488.7827199999999, 235.0116, 898.02048, 353.95991999999995]"
00120.jpg,2,2,0.9266303171704116,,Large,"[476.99968000000007, 385.0002, 627.00032, 516.99996]","[479.70112, 389.34612000000004, 627.8879999999999, 514.6038000000001]"
00120.jpg,1,1,0.8870820796290991,,Medium,"[694.0, 291.99996, 781.00032, 353.99988]","[689.4919040000001, 288.9855, 781.4840959999999, 352.92762]"
00120.jpg,0,0,0.8841358082586568,,Large,"[971.00032, 237.99960000000004, 1076.9996800000001, 329.99976]","[970.417152, 247.25232, 1077.488128, 329.32656]"
00121.jpg,0,1,0.9526127937602173,,Medium,"[931.99936, 399.99959999999993, 1023.99936, 457.99992]","[932.0098559999999, 399.903876, 1022.3735039999999, 456.34316400000006]"
00121.jpg,2,0,0.9456477747636028,,Medium,"[477.00032, 196.99992, 574.0, 255.00023999999996]","[476.204288, 197.451036, 572.7249919999999, 256.59248399999996]"
00121.jpg,1,2,0.8917417200073733,,Medium,"[1007.0003199999999, 323.99964, 1072.9996800000001, 369.99971999999997]","[1003.803392, 322.394328, 1074.460928, 369.41047199999997]"
00122.jpg,1,1,0.9826160149827151,,Large,"[269.00032, 288.99971999999997, 444.00064, 377.99963999999994]","[266.51648, 288.98748, 444.25216, 377.829]"
00122.jpg,0,0,0.9272335874335567,,Medium,"[520.99968, 255.00024000000002, 677.99936, 309.00023999999996]","[517.66464, 253.84042799999997, 674.70912, 308.313972]"
00122.jpg,2,2,0.9122619507285754,,Medium,"[808.0000000000001, 295.99992, 937.99936, 354.9996]","[811.119552, 296.846604, 933.796928, 353.882196]"
00123.jpg,0,0,0.9882732715732405,,Large,"[569.00032, 283.99967999999996, 978.0, 490.9996799999999]","[569.0246400000001, 283.32432, 975.75872, 491.62752]"
00123.jpg,1,1,0.9480671566412179,,Large,"[371.00032, 1.000080000000001, 630.00064, 75.00023999999999]","[366.41152000000005, -7.200000000207041e-05, 624.24448, 75.012408]"
00124.jpg,0,0,0.9695194753248288,,Large,"[397.99936, 266.0004, 816.99968, 489.0002400000001]","[405.76064, 265.86432, 817.53792, 491.37120000000004]"
00124.jpg,1,1,0.8643243123784274,,Large,"[941.9993599999999, 1.000080000000001, 1188.0, 95.99976000000001]","[940.9459199999999, 12.430152000000003, 1185.00096, 96.152472]"
00125.jpg,0,0,0.9533126420241512,,Large,"[305.00032, 302.99976000000004, 474.0, 430.99992]","[307.74848, 299.8134, 472.96704, 430.85412]"
00125.jpg,2,1,0.8740951784637653,,Medium,"[796.9996800000001, 266.00004, 902.9990399999999, 341.00028000000003]","[801.6588160000001, 271.041048, 902.151744, 341.926632]"
00125.jpg,1,2,0.5318114803189312,,Medium,"[733.00096, 240.00012, 815.0003200000001, 322.0002]","[680.58944, 238.04351999999997, 807.0009600000001, 323.11584]"
00126.jpg,2,0,0.9675580699826081,,Large,"[316.99968, 329.99976, 500.99968, 464.99976]","[317.18592, 330.80796, 498.50944, 463.35635999999994]"
00126.jpg,0,1,0.8083787511332994,,Medium,"[929.9993599999999, 262.00008, 1040.0, 322.99992]","[943.3146239999999, 264.70944000000003, 1038.929216, 321.43968]"
00126.jpg,1,3,0.7311528814675239,,Medium,"[864.0, 205.99992, 953.99936, 286.99992000000003]","[865.7376640000001, 206.86752, 966.031936, 273.94272]"
00127.jpg,0,0,0.9752156073267809,,Large,"[617.9993599999999, 295.99992, 796.99968, 453.00024]","[618.55744, 298.12032000000005, 798.19776, 453.2832]"
00127.jpg,2,1,0.7553876026784138,,Medium,"[936.99968, 203.0004, 1016.99968, 273.00024]","[933.8043519999999, 202.50932400000002, 1031.973568, 267.377076]"
00128.jpg,1,0,0.9127463263796876,,Medium,"[707.99936, 73.00008000000001, 767.99936, 104.99976]","[709.60576, 72.77392800000001, 766.85632, 106.29583200000002]"
00128.jpg,0,1,0.906185747587304,,Small,"[460.99967999999996, 302.00039999999996, 515.00032, 334.00008]","[463.055424, 301.136292, 516.175296, 334.429308]"
00129.jpg,0,0,0.962728862573755,,Large,"[520.99968, 0.9997199999999906, 1191.00032, 309.99996]","[525.05792, 0.0, 1201.12448, 314.3016]"
00130.jpg,0,0,0.9160532042487999,,Large,"[315.99936, 109.00008000000001, 1158.0, 410.99976000000004]","[299.59871999999996, 99.51624000000001, 1154.90112, 421.77527999999995]"
00131.jpg,0,0,0.9581076774544033,,Large,"[643.0003199999999, 237.00024, 920.0, 318.00024]","[644.9587200000001, 236.2932, 917.3836799999999, 316.58759999999995]"
00132.jpg,0,0,0.9359410153379639,,Large,"[748.99968, 0.9997200000000006, 942.9990399999999, 93.99995999999999]","[744.9919999999998, 0.0, 943.6224, 97.0488]"
00133.jpg,0,0,0.9743011868013045,,Large,"[437.00032, 187.99991999999997, 663.00096, 327.99960000000004]","[436.35264000000006, 190.50552000000002, 664.08384, 328.06728]"
00134.jpg,0,0,0.9442420816204956,,Medium,"[350.00064000000003, 249.99983999999998, 459.00032000000004, 312.99984]","[348.304704, 251.08106400000003, 457.117376, 313.479576]"
00135.jpg,0,0,0.9117899890904493,,Medium,"[762.0, 311.0004, 846.0000000000001, 354.00023999999996]","[758.6274559999999, 310.16610000000003, 845.8474239999999, 352.59534]"
00136.jpg,0,0,0.946464581259238,,Medium,"[541.00032, 225.0, 660.00064, 297.0]","[537.165248, 225.91314000000003, 659.557952, 297.52254]"
00137.jpg,0,0,0.9773852922805609,,Large,"[602.0, 311.99976, 794.9996800000001, 424.00008]","[602.1964800000001, 312.15959999999995, 792.30208, 424.72296]"
00138.jpg,0,0,0.9461620799166686,,Large,"[463.00032, 12.000239999999991, 932.0, 379.00008]","[457.48224000000005, 7.612559999999999, 926.86336, 371.33207999999996]"
00139.jpg,0,0,0.755724698958755,,Large,"[318.99968, 73.00007999999998, 1001.00032, 302.99976000000004]","[331.25248, 45.45648, 923.1936000000001, 294.0768]"
00140.jpg,0,0,0.8963680299700442,,Large,"[504.99967999999996, 27.999719999999996, 831.00032, 278.99964]","[499.86304000000007, 31.889519999999997, 831.69536, 260.54424000000006]"
00141.jpg,0,0,0.9659159109124164,,Large,"[688.00064, 177.00011999999998, 825.0003200000001, 252.00036]","[686.1919999999999, 176.29919999999998, 824.70208, 251.23680000000002]"
00142.jpg,0,0,0.7846376372376663,,Large,"[399.99936, 0.9997200000000006, 578.0, 91.9998]","[377.88864, 7.200000000207041e-05, 596.92864, 89.349912]"
00143.jpg,0,0,0.9264856794283718,,Large,"[662.9996800000001, 270.99972, 823.99936, 377.99963999999994]","[665.05408, 270.3168, 825.5161600000001, 383.34528]"
00144.jpg,0,0,0.8904172353900086,,Large,"[528.0, 327.00024, 652.9996800000001, 412.9999200000001]","[518.8288, 325.82124000000005, 653.0649599999999, 410.17572]"
00145.jpg,0,0,0.9652503400115352,,Large,"[548.99904, 285.00012, 686.99968, 396.00036]","[547.2832, 286.18847999999997, 686.19648, 396.73296]"
00146.jpg,0,0,0.9330492588437996,,Large,"[551.9993599999999, 128.99988, 715.99936, 242.99963999999997]","[547.8707199999999, 128.4354, 714.9056, 246.84876000000003]"
00147.jpg,0,0,0.9458182358125333,,Large,"[420.0, 194.00004, 570.00064, 280.9998]","[419.2064, 195.21792, 574.10688, 281.8656]"
00148.jpg,0,0,0.8927997446565425,,Large,"[248.00063999999998, 123.00048000000001, 497.00032, 263.00016]","[237.47647999999998, 115.46640000000001, 501.61343999999997, 263.2896]"
00149.jpg,0,0,0.7102848454988058,,Large,"[22.999679999999998, 1.000080000000001, 679.9993599999999, 329.0004]","[107.42719999999998, 13.94603999999999, 594.41984, 328.2498]"
00150.jpg,0,0,0.8385054873248745,,Large,"[306.99968, 225.0, 898.0, 490.99968]","[322.03200000000004, 227.88827999999995, 824.9273600000001, 490.00644]"
00153.jpg,0,0,0.9713595066235692,,Medium,"[251.00032000000002, 321.00012, 326.00064000000003, 369.00036]","[250.165888, 321.21396, 326.338432, 369.44172]"
00154.jpg,0,0,0.9467360835180759,,Large,"[430.0, 372.99996, 685.0003200000001, 549.99972]","[428.35712, 374.22756000000004, 687.6083199999999, 544.48668]"
00155.jpg,0,0,0.7284594862135088,,Large,"[504.0, 1.0004399999999913, 736.0, 205.0002]","[499.9539199999999, 45.523439999999994, 727.10784, 202.12056]"
00156.jpg,0,0,0.9689931412206297,,Large,"[364.00064, 49.00032, 626.0, 193.00032000000002]","[363.78752, 51.20604, 623.83744, 192.01427999999999]"
00157.jpg,0,0,0.9561134255626463,,Large,"[546.0, 466.0002, 881.00032, 683.00028]","[550.3673600000001, 465.11604, 874.2931199999999, 684.6577199999999]"
