image,Prediction_index,confidence,size,Prediction_box
00889.jpg,0,,Tiny,"[1164.014976, 280.74805200000003, 1202.876544, 301.596588]"
00921.jpg,0,,Tiny,"[1306.9077120000002, 658.874736, 1340.357568, 671.3915039999999]"
00969.jpg,1,,Tiny,"[878.560192, -7.199999999957241e-06, 906.1796479999999, 11.2948488]"
00985.jpg,1,,Tiny,"[1270.686624, 274.98560399999997, 1280.000096, 289.549116]"
01022.jpg,1,,Tiny,"[700.4917760000001, 491.87523600000003, 713.5447039999999, 502.72844399999997]"
01034.jpg,0,,Medium,"[510.55808, 265.11537599999997, 698.6707200000001, 313.17998400000005]"
01067.jpg,1,,Medium,"[733.4462080000001, 118.95389999999999, 828.166592, 167.34402]"
01079.jpg,1,,Large,"[133.49759999999998, 434.31397200000004, 363.59552, 488.36458799999997]"
01085.jpg,3,,Medium,"[579.4347519999999, 236.55063600000003, 659.223808, 283.941684]"
01092.jpg,2,,Large,"[941.08288, 188.68284, 1089.76512, 317.4138]"
01097.jpg,0,,Large,"[553.89504, 315.378, 1022.13824, 574.16184]"
01106.jpg,1,,Large,"[567.77024, 139.82616, 812.8480000000001, 261.80712]"
01115.jpg,0,,Small,"[957.6095359999999, 352.64152799999994, 996.863424, 372.215592]"
01167.jpg,1,,Tiny,"[352.662592, 101.391084, 374.118848, 114.57003599999999]"
01187.jpg,0,,Large,"[516.23424, 266.77116, 745.46176, 369.2826]"
01197.jpg,0,,Small,"[503.46623999999997, 224.3484, 542.17088, 246.86424]"
01206.jpg,0,,Medium,"[561.023296, 378.783108, 612.516544, 422.35369199999997]"
01206.jpg,1,,Small,"[570.377088, 389.160936, 611.805312, 421.55474399999997]"
01219.jpg,0,,Large,"[707.1551999999999, 151.69176000000002, 1193.0944, 344.81016]"
01220.jpg,1,,Large,"[539.16928, 232.18668, 945.29536, 452.1618]"
01226.jpg,0,,Large,"[412.07424000000003, 165.03552, 848.85632, 568.87776]"
01239.jpg,1,,Large,"[330.12144, 212.00903999999997, 429.27119999999996, 286.5564]"
01274.jpg,0,,Small,"[205.58272000000002, 408.09787199999994, 247.1584, 423.255888]"
01294.jpg,0,,Medium,"[434.14739199999997, 364.44563999999997, 534.395328, 439.29323999999997]"
01296.jpg,1,,Large,"[0.0, 485.10972, 126.923776, 720.00036]"
01314.jpg,0,,Large,"[595.74784, 250.17947999999998, 760.13824, 327.12228]"
01315.jpg,0,,Large,"[567.506816, 254.31192, 693.224064, 336.90456]"
01325.jpg,1,,Large,"[793.5840000000001, 262.19808, 947.4489599999999, 338.70384]"
01327.jpg,0,,Tiny,"[566.528384, 218.56665599999997, 586.662016, 240.172704]"
01363.jpg,0,,Medium,"[426.39104000000003, 232.94185199999998, 480.02048, 273.07414800000004]"
01364.jpg,1,,Small,"[328.29766400000005, 495.30837599999995, 358.593856, 511.896744]"
01426.jpg,0,,Large,"[376.13568, 111.30793200000001, 687.17824, 166.937508]"
01526.jpg,1,,Tiny,"[633.23136, 825.890688, 659.1820799999999, 838.5102720000001]"
01541.jpg,1,,Small,"[886.625472, 807.524478, 960.0074879999999, 838.872882]"
01592.jpg,1,,Tiny,"[1913.0422464, 450.1100178, 1919.8806335999998, 460.1528622]"
01680.jpg,0,,Tiny,"[1067.15136, 422.03689199999997, 1114.87104, 443.736468]"
01683.jpg,0,,Small,"[825.4295999999999, 669.022848, 892.86288, 697.194432]"
01710.jpg,1,,Tiny,"[0.004252800000001389, 264.957048, 18.753648, 276.559272]"
01753.jpg,0,,Tiny,"[1095.9615360000003, 327.11088600000005, 1129.2608639999999, 343.849914]"
01753.jpg,1,,Tiny,"[1003.260768, 201.392676, 1034.0166720000002, 220.317084]"
01756.jpg,1,,Tiny,"[1508.8747199999998, 638.8524, 1531.0344, 651.53808]"
01759.jpg,1,,Tiny,"[1509.863232, 638.5742459999999, 1531.4628480000001, 651.237354]"
01871.jpg,0,,Small,"[1620.982656, 537.028758, 1663.0045440000001, 562.121802]"
01900.jpg,0,,Tiny,"[785.495328, 946.1433420000001, 806.461152, 962.490978]"
02015.jpg,0,,Tiny,"[458.9208, 856.001142, 483.92207999999994, 869.899338]"
02048.jpg,1,,Tiny,"[1449.5339519999998, 896.0255639999999, 1469.687808, 903.288996]"
02077.jpg,1,,Small,"[326.63740800000005, 707.075136, 381.11299199999996, 729.098064]"
02113.jpg,0,,Tiny,"[1354.4812800000002, 390.435336, 1394.72832, 407.50322400000005]"
02113.jpg,1,,Tiny,"[1344.466464, 389.530836, 1396.947936, 409.237164]"
02123.jpg,0,,Tiny,"[1164.014976, 280.74805200000003, 1202.876544, 301.596588]"
