image,GT_index,size,GT_box
01187.jpg,0,Large,"[517.9993599999999, 267.00048, 752.9996799999999, 317.00016000000005]"
01197.jpg,0,Large,"[546.0000000000001, 306.0, 753.00032, 413.99999999999994]"
01206.jpg,0,Small,"[583.99936, 396.00000000000006, 610.0, 420.99983999999995]"
01219.jpg,0,Large,"[691.00032, 161.99999999999997, 1180.99968, 522.0]"
01226.jpg,0,Large,"[417.99936, 170.00027999999998, 844.9996799999999, 304.0002]"
01249.jpg,0,Large,"[517.00032, 216.00036, 690.99968, 287.00028000000003]"
01275.jpg,0,Large,"[572.0, 277.99992000000003, 763.9999999999999, 343.00008]"
01294.jpg,0,Large,"[410.00064, 365.00004, 740.0, 429.00012000000004]"
01314.jpg,0,Medium,"[621.99936, 251.99999999999997, 760.99968, 294.99984]"
01315.jpg,0,Medium,"[568.99968, 253.00008, 692.0, 293.99976]"
01327.jpg,0,Tiny,"[568.99904, 218.00016, 586.99968, 229.00032000000002]"
01363.jpg,0,Medium,"[427.99935999999997, 232.99991999999997, 479.99935999999997, 316.00007999999997]"
01389.jpg,0,Medium,"[712.9996800000001, 455.00004, 832.9996800000001, 530.00028]"
01426.jpg,0,Large,"[388.99968, 91.9998, 700.99968, 259.99956]"
01613.jpg,0,Tiny,"[1275.0, 470.99934, 1305.0, 489.99978]"
01615.jpg,0,Tiny,"[876.0, 471.99942, 907.00032, 486.99954]"
01680.jpg,0,Tiny,"[1076.9990400000002, 428.00022, 1102.99968, 443.00034000000005]"
01683.jpg,0,Tiny,"[849.9993600000001, 669.0006000000001, 895.00032, 690.00012]"
01753.jpg,0,Tiny,"[1102.9996800000001, 327.99978000000004, 1122.0, 337.9995]"
01774.jpg,0,Tiny,"[493.00031999999993, 442.00026, 519.0009600000001, 457.00038000000006]"
01823.jpg,0,Tiny,"[1153.0003199999999, 869.9999400000002, 1174.99968, 880.99974]"
01833.jpg,0,Small,"[1015.0003199999999, 795.99996, 1084.9996800000001, 847.9998]"
01871.jpg,0,Tiny,"[1641.0, 536.99976, 1663.99968, 560.9995200000001]"
01900.jpg,0,Tiny,"[429.99935999999997, 885.0000600000001, 451.99872000000005, 899.0001000000001]"
01908.jpg,0,Small,"[279.00096, 428.99922, 332.00064000000003, 448.99974]"
01911.jpg,0,Small,"[146.00064, 478.00044, 196.00128, 500.00004]"
01936.jpg,0,Tiny,"[713.99904, 429.9993, 750.99936, 448.99974]"
01952.jpg,0,Small,"[919.0012800000001, 18.999360000000003, 971.0006400000001, 51.999840000000006]"
02015.jpg,0,Tiny,"[1425.0, 488.9997, 1455.0, 503.99982000000006]"
02113.jpg,0,Small,"[1336.00128, 387.00017999999994, 1406.0006400000002, 424.99998]"
02123.jpg,0,Small,"[1161.0, 272.00070000000005, 1207.99968, 308.00034]"
02156.jpg,0,Small,"[1240.99968, 833.99976, 1286.0006400000002, 859.99968]"
02170.jpg,0,Small,"[1369.99968, 860.0002200000001, 1440.99936, 880.0007400000001]"
